"director_id";"person_id_tmdb";"nombre";"sexo";"fuente_sexo";"pais";"fuente_pais";"nombre_credito_original"
1;229931;"Asghar Farhadi";"hombre";"tmdb";"IR";"tmdb_heuristico";""
2;1930872;"Ferrán Navarro-Beltrán";"hombre";"tmdb";"";"";""
3;1114075;"Vicente Pérez Herrero";"";"";"";"";""
4;1120691;"Antonio Drove";"hombre";"tmdb";"ES";"tmdb_heuristico";""
5;1388727;"Lucía Álvarez";"mujer";"wikidata";"MX";"wikidata";""
6;2434913;"César Souto Vilanova";"";"";"";"";""
7;2839650;"Eloy Calvo";"hombre";"tmdb";"ES";"tmdb_heuristico";""
8;2522953;"Patricia Franquesa";"";"";"";"";""
9;96369;"Carlos Saura";"hombre";"tmdb";"ES";"tmdb_heuristico";""
10;1115312;"Gaizka Urresti";"hombre";"wikidata";"ES";"wikidata";""
11;37526;"Fernando Trueba";"hombre";"tmdb";"ES";"tmdb_heuristico";""
12;3567270;"Evgeny Yablokov";"";"";"";"";""
13;3778185;"Nick Igea";"";"";"";"";""
14;131587;"Víctor Monigote";"hombre";"manual";"ES";"manual";""
15;2474255;"Eduardo Gondell";"hombre";"wikidata";"AR";"wikidata";""
16;1624337;"Pau Faus";"";"";"";"";""
17;4382575;"Ana L. Martín";"";"";"";"";""
18;1105225;"Héctor Claramunt";"hombre";"wikidata";"";"";""
19;2445361;"Valeriano López";"";"";"";"";""
20;2181973;"Iratxe Fresneda";"mujer";"tmdb";"ES";"tmdb_heuristico";""
21;5702959;"Alberto Martos";"";"";"";"";""
22;113406;"Belén Macías";"mujer";"tmdb";"ES";"tmdb_heuristico";""
23;17000;"Elena Manrique";"mujer";"tmdb";"";"";""
24;3217186;"Chiara Avesani";"";"";"";"";""
25;2349411;"Matteo Delbò";"";"";"";"";""
26;42;"Lars von Trier";"hombre";"tmdb";"DK";"tmdb_heuristico";""
27;1459948;"Juanjo Giménez Peña";"hombre";"tmdb";"ES";"tmdb_heuristico";""
28;2025649;"Pilar Palomero";"mujer";"tmdb";"ES";"tmdb_heuristico";""
29;4237979;"Coré Ruiz";"";"";"";"";""
30;3960733;"Juan Perez Fajardo";"";"";"";"";""
31;1090718;"Sigfrid Monleón";"hombre";"wikidata";"ES";"wikidata";""
32;1121668;"Germán Roda";"";"";"";"";""
33;1744391;"Andrea Jaurrieta";"mujer";"tmdb";"ES";"tmdb_heuristico";""
34;1909488;"José Manuel Gómez Vidal";"";"";"";"";""
35;6346352;"Sandra Romero";"";"";"";"";""
36;1966070;"Álvaro Gago";"hombre";"tmdb";"ES";"tmdb_heuristico";""
37;5308218;"Sandra Román";"";"";"";"";""
38;57865;"Álex de la Iglesia";"hombre";"tmdb";"ES";"tmdb_heuristico";""
39;25900;"Daniel Guzmán";"hombre";"tmdb";"ES";"tmdb_heuristico";""
40;1805365;"Octavio Guerra";"hombre";"tmdb";"ES";"tmdb_heuristico";""
41;2628141;"Gerard Oms";"hombre";"tmdb";"ES";"tmdb_heuristico";""
42;74909;"Dolores Fonzi";"mujer";"tmdb";"AR";"tmdb_heuristico";""
43;1331228;"David Pantaleón";"";"";"";"";""
44;4081519;"Joaquín Carmona Hidalgo";"";"";"";"";""
45;90;"Isabel Coixet";"mujer";"tmdb";"ES";"tmdb_heuristico";""
46;1282574;"Paloma Concejero";"mujer";"tmdb";"ES";"tmdb_heuristico";""
47;4385976;"Javier Polo";"hombre";"manual";"ES";"manual";""
48;4152418;"Manuel Rossell";"";"";"";"";""
49;2428618;"Patricia Tamayo";"mujer";"tmdb";"CO";"tmdb_heuristico";""
50;2856339;"Albert Badia";"";"";"";"";""
51;4776926;"Lucía Casañ Rodríguez";"";"";"";"";""
52;4896283;"Itsaso Arana";"";"";"";"";""
53;2522604;"Claudia Reig";"mujer";"manual";"ES";"manual";""
54;1367159;"Adrián Silvestre";"hombre";"wikidata";"ES";"wikidata";""
55;2610510;"Larraitz Zuazo";"";"";"";"";""
56;2584715;"Zuri Goikoetxea";"";"";"";"";""
57;1624805;"Ainhoa Andraka";"";"";"";"";""
58;1049263;"Abel García Roure";"";"";"";"";""
59;3184568;"Manu Trillo";"";"";"";"";""
60;19804;"Manuel Huerga";"hombre";"tmdb";"ES";"tmdb_heuristico";""
61;2631444;"Francesca Català Margarit";"";"";"";"";""
62;1360055;"Guillermo Benet";"hombre";"tmdb";"ES";"tmdb_heuristico";""
63;2071650;"Eva Vizcarra";"mujer";"tmdb";"ES";"tmdb_heuristico";""
64;2617011;"Daniel Luna";"";"";"";"";""
65;932363;"Mariano Barroso";"hombre";"tmdb";"ES";"tmdb_heuristico";""
66;1151386;"Neus Ballús";"mujer";"tmdb";"ES";"tmdb_heuristico";""
67;1788850;"Elena Martín Gimeno";"mujer";"tmdb";"ES";"tmdb_heuristico";""
68;34017;"Daniel Sánchez Arévalo";"hombre";"tmdb";"ES";"tmdb_heuristico";""
69;109354;"Lluís Danés";"hombre";"wikidata";"ES";"wikidata";""
70;1106577;"Carlos Vermut";"hombre";"tmdb";"ES";"tmdb_heuristico";""
71;5646425;"Patricia Pérez";"";"";"";"";""
72;5318950;"Liena Cid Navia";"";"";"";"";""
73;4958781;"Kike Maillo";"hombre";"manual";"ES";"manual";""
74;3022884;"Borja de la Vega";"";"";"";"";""
75;2549328;"Irene Iborra Rizo";"mujer";"manual";"ES";"manual";""
76;3262866;"Ekain Albite";"hombre";"tmdb";"";"";""
77;3959299;"Adrià Roca";"hombre";"tmdb";"";"";""
78;3959300;"Nicolau Mallofré";"hombre";"tmdb";"";"";""
79;3959289;"Mikel Ibarguren";"hombre";"tmdb";"";"";""
80;2046903;"Magda Calabrese";"";"";"";"";""
81;2767302;"María Gisele Royo";"";"";"";"";""
82;2494000;"Julia de Castro";"";"";"";"";""
83;570219;"Manuel Serrano";"hombre";"tmdb";"";"";""
84;1149068;"Mar Coll";"mujer";"tmdb";"ES";"tmdb_heuristico";""
85;1388779;"Ramon Luque";"";"";"";"";""
86;1031128;"David Marqués";"hombre";"tmdb";"ES";"tmdb_heuristico";""
87;1195187;"Víctor Matellano";"hombre";"tmdb";"ES";"tmdb_heuristico";""
88;1294751;"Estibaliz Urresola Solaguren";"mujer";"tmdb";"ES";"tmdb_heuristico";""
89;1756181;"Daresha Kyi";"mujer";"manual";"US";"manual";""
90;1161761;"Catherine Gund";"mujer";"manual";"US";"manual";""
