"distribuidora_id";"nombre";"codigo_icaa_referencia"
1;"15-L FILMS, S.L.";"02J1243"
2;"35MM ASSOCIACIO CATALANA CINEMES INDEPENDENTS, S.L.";"02J1023"
3;"39 Escalones";""
4;"39 ESCALONES FILMS, S.L.";"02J1049"
5;"3boxmedia";""
6;"601 PRODUCCIONES AUDIOVISUALES, S.L.";"02J1582"
7;"A Contracorriente";""
8;"A CONTRACORRIENTE FILMS, S.L.";"02J861"
9;"ABANICO VISION, S.L.";"01J7000"
10;"ABRE TU MENTE, S.L.";"02J1479"
11;"ACAJU COMUNICACION AMBIENTAL, S.L.";"02J1142"
12;"ACARINO FILMS, S.L.";"02J1573"
13;"ACHE, DISTRIBUCIONES CINEMATOGRAFICAS, S.A.";"02J255"
14;"ACORN STUDIO, S.L.";"01J8195"
15;"ADABAKI EKOIZPENAK KOOP. ELK TXIKIA";"01J6861"
16;"ADSO INTERNATIONAL MANAGEMENT, S.L.";"02J1284"
17;"AF PICTURES PRODUCTIONS, S.L.";"02J1740"
18;"AGENCIA AUDIOVISUAL FREAK, S.L.";"02J659"
19;"AGENCIA IMAGIC SHORT FILM DISTRIBUTION, S.L.";"02J1814"
20;"AJAY KUMAR KUMARI";"02F493"
21;"ALBENA PRODUCCIONS, S.L.";"02J1314"
22;"ALBERTO JOSÉ REDONDO VILLA";"02F594"
23;"ALBERTO PASCUAL RODRÍGUEZ";"02F563"
24;"ALENDA, S.A.";"02J158"
25;"ALFA FILMS S.A.";"02J162"
26;"ALFA PICTURES, S.L.U.";"02J1017"
27;"ALFONSO AMADOR VIQUEIRA";"01F2938"
28;"ALFONSO SUAREZ SUAREZ";"01F1572"
29;"ALFREDO PEDRO CARRASCO ALONSO";"01F4412"
30;"ALQUIMISTAS PRODUCCIONES AUDIOVISUALES, S.L.";"01J4899"
31;"ALTA CLASSICS S.L UNIPERSONAL";"02J585"
32;"ALTA FILMS, S.A.";"02J89"
33;"ALTAHABANA FILMS, S.L.";"01J8444"
34;"ALTUBE FILMEAK, S.L.U.";"02J1440"
35;"AMATEURFILMS, S.L.U.";"02J1615"
36;"AMBRA PROJECTES CULTURALS, S.L.";"02J1534"
37;"AMOR Y LUJO, S.L.";"02J1253"
38;"ANGULAR PRODUCCIONES, S.L.";""
39;"ANTIVAHO CINEMATOGRÁFICO, S.L.";"01J6886"
40;"AREA PROYECTOS AUDIOVISUALES Y CULTURALES, S.L.U.";"02J1316"
41;"ARENA COMUNICACION AUDIOVISUAL S.L.";"98T212"
42;"ARLONG PRODUCTIONS, S.L.U.";"02J1504"
43;"ARRISKA, S.L.";"01J2069"
44;"ARTE 7 DISTRIBUCION CINEMATOGRAFICA, S.A.";"02J127"
45;"ARTEFACTO PRODUCCIONES AUDIOVISUALES, S.L.N.E.";"01J3551"
46;"ARTHUR GORDON, S.L.";"02J1500"
47;"ARTISTIC FILMS, S.C.P.";"01J7309"
48;"ARTISTIC METROPOL, S.C.P.";"02J1116"
49;"ARTS DIGITAL COMMUNITY, S.L.";"02J1564"
50;"ARTURO DUEÑAS HERRERO";"02F593"
51;"ARTURO GONZALEZ RODRIGUEZ";"02F7"
52;"ASFALTO DISTRIBUCIONES CINEMATOGRAFICAS, S.L.";"02J627"
53;"Atera Films";""
54;"ATIENDE FILMS, S.L.";"02J1586"
55;"AURUM PRODUCCIONES, S.A.";"02J535"
56;"AVALON DISTRIBUCION AUDIOVISUAL, S.L.";"02J784"
57;"Avalon Distribución";""
58;"Avisual Concept";""
59;"BARTON FILMS, S.L.";"02J537"
60;"BAÑOS FILMS, S.L.";"02J532"
61;"BEATRIZ CARRETERO GARCIA";"01F2204"
62;"BEGIN AGAIN FILMS, S.L.";"02J1250"
63;"BELINO PRODUCTION, S.L.";"02J1396"
64;"BENECE PRODUCCIONS, S.L.";"02J839"
65;"BETA FICTION SPAIN, S.L.";"02J1485"
66;"BEÑAT GEREKA BIKUÑA";"01F59509"
67;"BOCACCIO DISTRIBUCIONES, S.A.";"02J101"
68;"Boogaloo";""
69;"BOSCO FILMS, S.L.";"02J1285"
70;"BRAIS ROMERO SUÁREZ";"02F622"
71;"BREPI FILMS, S.A.";"02J7"
72;"BTEAM PICTURES, S.L.";"02J1137"
73;"BUENA VISTA INTERNATIONAL SPAIN, S.A.";"02J511"
74;"BUENAVIDA PRODUCCIONES, S.L.";"02J1368"
75;"CAFÉ MEDIA LAB, S.L.";"02J1804"
76;"CAMEO MEDIA, S.L.";"02J1107"
77;"Caracter Films";""
78;"CARAMELFILMS, S.L.U.";"02J1098"
79;"CARLOS PÉREZ ROMERO";"02F565"
80;"CARMEN GÓMEZ PERALTA";"02F637"
81;"CAROLINA DANIELLA ASTUDILLO MUÑOZ";"02F519"
82;"CARÁCTER FILMS, S.L.";"02J1584"
83;"CASTELAO PICTURES, S.L.";"02J943"
84;"C.B. FILMS, S.A.";"02J13"
85;"C.E.A. DISTRIBUCION S.A.";"02J4"
86;"CECILIA MONTAGUT ACOSTA";"01F3700"
87;"CELIA MATEO NOVIS";"01F2576"
88;"CHAMARTIN PRODUCCIONES Y DISTRIBUCIONES";"02J15"
89;"CHUKUMI STUDIO, S.L";"02J1208"
90;"CIFESA DISTRIBUCION CINEMATOGRAFICA S.A.";""
91;"CINE ANDALUCIA DISTRIBUCION 2018, S.L.";"02J1318"
92;"CineAND Distribución";""
93;"CINEBINARIO FILMS, S. COOP. AND.";"02J1176"
94;"CINEMA 3 S.A.";"02J170"
95;"CINEMATOGRAFICA PELIMEX, S.A.";"02J10"
96;"CINEMAWINGS, S.L.U.";"02J1568"
97;"CITLALI DISTRIBUCION, S.L.";"02J689"
98;"CLAQUETA COQUETA,S.L.";"01J4657"
99;"CLASSIC FILMS DISTRIBUCION, S.L.";"02J879"
100;"COLUMBIA FILMS, S.A.";"02J20"
101;"COMPACTO, S.C.C.L";"02J1207"
102;"COMPAÑIA PREMIUM DE VIDEO Y TV, S.L.";"02J620"
103;"COMPAÑÍA INDUSTRIAL FILM ESPAÑOLA CIFESA";"02J36"
104;"COMUNIDAD FILMIN, S.L.";"02J1252"
105;"CON UN PACK DE CONSULTORIA Y COMUNICACION, S.C.";"02J1272"
106;"CON UN PACK DE PELICULAS, S.L.";"02J1367"
107;"CON UN PACK DE PELÍCULAS, S.L.";"07J160"
108;"CONTENT LINE, S.L.";"02J1238"
109;"CONTRACORRIENTE PRODUCCIONES, S.L.U.";"01J3704"
110;"Contubernio";""
111;"ConUnPack";""
112;"COOPER FILMS, S.A";"02J415"
113;"COOPERATIVA CINEMATOGRAFICA DE DISTRIBUC";"02J53"
114;"CORPORACIÓ CATALANA DE MITJANS AUDIOVISUALS, S.A.";"98J4957"
115;"CORPORACIÓN DE RADIO Y TELEVISIÓN ESPAÑOLA, S.A.";"98J4951"
116;"CORPORACIÓN RADIO TELEVISIÓN ESPAÑOLA, S.M.E.";"01J9756"
117;"COSMOS FAN COMUNICACION, S.L.";"02J1236"
118;"Cuerda Floja";""
119;"DADA FILMS & ENTERTAINMENT, S.L.";"02J1669"
120;"DAVID VARELA ÁLVAREZ";"02F571"
121;"DAVINIA BURGOS NARVÁEZ";"02F537"
122;"DEA PLANETA, S.L.";"02J610"
123;"DEJAVU FILMS, S.L.";"10J2976"
124;"DIAMOND FILMS ESPAÑA DISTRIBUCION Y PRODUCCION AUDIOVISUAL, S.L.";"02J1225"
125;"DIANA TOUCEDO CRESPO";"02F572"
126;"DIAZ Y GALLEJONES, S.L.";"02J558"
127;"DIGITAL 104, S.L.";"02J1156"
128;"DIJITALIDADEA, S.L.";"02J1612"
129;"DINAMIC ENGINY, S.L.U.";"02J1441"
130;"DISENTROPIC, S.L.";"02J1141"
131;"DISTINTO FILMS, S.L.U.";"01J3560"
132;"DISTRIBUCION DE PELICULAS BARLOVENTO, S.L.";"02J1332"
133;"DOCE ENTERTAINMENT, S.L.";"01J5496"
134;"DOS CINCUENTA Y NUEVE, S.L.";"02J1290"
135;"DREAMS FACTORY EUROPEAN, S.L.";"02J829"
136;"EDICIONES Y DISTRIBUCIONES CINEMATOGRAFI";"02J48"
137;"EFILM ONLINE, S.L.";"02J1561"
138;"EIGAKAN FILMS, S.L.U.";"02J1569"
139;"EL CINE EN SUPER 8 S.A.";"02J254"
140;"El Dedo en el Ojo";""
141;"EL DESEO S.L.U.";"02J919"
142;"EL DESEO D.A. S.L.";"01J2217"
143;"ELAMEDIA, S.L.";"02J1104"
144;"ELASTICA FILMS, S.L.";"02J1442"
145;"EMILIANO PIEDRA MIANA";"02F198"
146;"EMPATIA MEDIA, S.L.";"02J769"
147;"ENRIQUE CEREZO PRODUCCIONES CINEMATOGRAFICAS, S.A.";"98T1249"
148;"EO EL OJO MECANICO, S.L.";"01J2488"
149;"EODEM PICTURES, S.L.";"02J1660"
150;"ERIC FLORENT ANTOINE GRIFFON DU BELLAY";"02F573"
151;"ESCORADO PRODUCCION, S.L.";"02J998"
152;"ESTACION CINEMA, S.L.";"02J924"
153;"ESTHER DÍAZ GONZÁLEZ";"02F566"
154;"ESTUDI PLAYTIME S.L.";"01J3298"
155;"EUREKA FILMS, SL";"01J1147"
156;"European Dreams Factory";""
157;"EXCLUSIVAS FLORALVA DISTRIBUCION, S.A.";"02J11"
158;"EXIT VIDEO S.A.";""
159;"FELIX VELAZQUEZ LOPEZ";"02F447"
160;"FERNANDO CORTIZO RODRÍGUEZ";"02F598"
161;"FERNANDO PAZIN";"02F531"
162;"FESTIMANIA PICTURES, S.L.U.";"02J1507"
163;"FESTIVAL FILMS, S.L.";"02J623"
164;"FILM BURO PRODUCCIONES INTERNACIONALES, S.L.";"02J1125"
165;"FILM FACTORY ENTERTAINMENT, S.L.";"02J961"
166;"FILM STOCK INVESTMENT, S.A.";"01J828"
167;"FILMAX, S.A.";"02J18"
168;"FILMAX PICTURES,S.L.";"02J862"
169;"FILMAYER INTERNATIONAL S.A.";""
170;"Filmin";""
171;"Films 59";""
172;"FIREWORKERS PRODUCCION Y DISTRIBUCION AUDIOVISUAL, A.I.E.";"02J1275"
173;"FLAMINGO FILMS, S.L.";"02J1369"
174;"FLINS Y PINICULAS, S.L.";"02J707"
175;"FLYING HANDS DOCUMENTAL, A.I.E.";"02J1680"
176;"FLÓREZ FILMS, S.L.";"02J1653"
177;"FORTER UNICORP. SPAIN, S.L.U.";"02J1255"
178;"FRAMAX FILMS, S.L.";"02J371"
179;"FRANCESC ALARCÓN GARCÍA";"02F545"
180;"FRANCISCO JAVIER FERNÁNDEZ BORDONADA";"02F627"
181;"FRANCISCO JAVIER GONZÁLEZ CASTRO";"02F619"
182;"FRANCISCO JAVIER PÉREZ DÍAZ";"02F590"
183;"GESTION DE FESTIVALES, S.L.";"02J1389"
184;"GLOBE FILMS, S.A.";"02J196"
185;"GOLEM DISTRIBUCION, S.L.";"02J380"
186;"GONDOLA FILMS, S.L.";"02J1213"
187;"GONZALO MOYA SANTIAGO";"01F4146"
188;"GOYA PRODUCCIONES, S.A.";"02J1220"
189;"HEMISPHERE FILMS, S.L.U.";"02J1419"
190;"HEROES DOCUMENTAL AIE";"02J1474"
191;"Hiru Damatxo";""
192;"HIRUKI FILMAK, S.L.";"02J1560"
193;"HISPANO FOXFILM, S.A.E.";"02J25"
194;"IGNACIO BENEDETI CINEMA,S.L.";"02J641"
195;"IGNACIO SERAPIO REVILLA";"02F582"
196;"IMAGINE! FACTORY FILMS, S.L.";"02J1409"
197;"IMAGO INTERNACIONAL, SA";"01J458"
198;"IMPRONTA FILMS, S.L.";"02J987"
199;"IN-CINE DISTRIBUIDORA CINEMATOGRAFICA, S.A.";"02J75"
200;"INFINITO MAS UNO, S.L.";"02J1246"
201;"Inflamavle";""
202;"INOPIA FILMS, S.L.";"02J704"
203;"INSTITUT VALENCIA DE CULTURA";"98J819"
204;"INSTITUTO CINEMATOGRÁFICO EUROPEO, S.L.";"02J1578"
205;"INTERNACIONAL FILMS DISTRIBUCION, S.A.";"95J2"
206;"IVAN ROIZ PEREDA";"01F3389"
207;"IVEX FILMS, S.A.";"02J391"
208;"IZARO FILMS, S.A.";"02J110"
209;"JAIBO FILMS, S.L.N.E.";"02J1361"
210;"JAMBIKA DOCS, S.L.";"02J1714"
211;"JAVIER FERNÁNDEZ VÁZQUEZ";"02F546"
212;"JAVIER GARCIA PUERTO";"02F474"
213;"J.F. FILMS DE DISTRIBUCION, S.A.";"02J114"
214;"JOHANNA CRISTINA TONINI";"02F556"
215;"JOSE ESTEBAN ALENDA, S.A.";"02J253"
216;"JOSE FRADE PRODUCCIONES CINEMATOGRAFICAS, S.A.";"02J290"
217;"JOSE LUIS BARRIOS TREVIÑO";"02F283"
218;"JOSE PUERTAS JIMENEZ";"02F20"
219;"JOSÉ ALBERTO ZÚÑIGA RODRÍGUEZ";"02F612"
220;"JOSÉ LUIS PEDRERO RAMÓN";"02F634"
221;"JOSÉ LUIS ROJAS CLEMENTE";"02F588"
222;"JUAN ALFREDO AMIL RODRÍGUEZ";"02F597"
223;"JUAN DOMINGO RODRIGUEZ BRISO MONTIANO";"02F445"
224;"JUAN JOSÉ CASTRO SÁEZ";"02F568"
225;"JUAN PIQUER SIMON";"02F252"
226;"JUR JUR PRODUCTIONS, S.L.";"02J1627"
227;"KALENDER VIDEO S.A.";""
228;"KARMA FILMS, S.L.";"02J647"
229;"KASBAH PRODUCCIONES CINEMATOGRAFICAS, S.L.";"01J1990"
230;"KINEPOLIS MADRID, S.A.";"02J1482"
231;"KINOS KLAN PRODUCCIONES CINEMATOGRAFICAS, S.L.";"02J1594"
232;"LA AVENTURA CINE, S.L.";"02J1089"
233;"La Dalia Films";""
234;"LA LUNA DE TANTAN, S.L.";"02J971"
235;"LA MALETA FILMS, S.L.";"02J1539"
236;"LA VIDA DR, S.L.U.";"02J1625"
237;"LAS HORMIGAS NEGRAS PRODUCCIONES AUDIOVISUALES, S.L.";"02J1447"
238;"LAS PRODUCCIONES DE LOS IMAGINARIOS. PRODUCCIONES AUDIOVISUALES, S.L.U.";"02J1509"
239;"LASDELCINE PRODUCCIONES AUDIOVISUALES, S.L.";"02J1158"
240;"LASTOR MEDIA, S.L.";"01J3992"
241;"LAUREN FILM, S.A.";"02J373"
242;"LAUREN FILMS VIDEO HOGAR,S.A.";"02J714"
243;"LAURENFILMS, SA.";"01J753"
244;"LAZONA PICTURES, S.L.";"02J1603"
245;"LES FILMS DE LA RÉSISTANCE, S.L.U.";"02J1595"
246;"LIMMAT FILMS, S.L.";"02J1692"
247;"LINCE COMUNICACION, S.L.";"02J790"
248;"LINDE FILMS, S.L.";"02J1750"
249;"LLANERO FILMS, S.L.";"02J1386"
250;"LOLAFILMS DISTRIBUCION, S.A.";"02J572"
251;"LOTUS FILMS INTERNATIONAL, S.A.";"02J118"
252;"LUIS MARIA GIBERT CHECA";"01F3611"
253;"LUK INTERNACIONAL, S.A";"02J357"
254;"LUKIMEDIA, S.L.";"02J939"
255;"L´ATALANTE CINEMA, S.L.U.";"02J1424"
256;"MAGENTA FILMS,S.L.";"02J1155"
257;"MAGO AUDIO VISUAL PRODUCTION, S.L.";"02J1596"
258;"MAKING DOC PRODUCCIONES, S.L.";"02J907"
259;"MALVALANDA,S.L.";"02J841"
260;"MANO NEGRA FILMS SLU";"02J1484"
261;"MARAVILLAS DISTRIBUCIONES CINEMATOGRÁFICAS, S.L.";"02J1473"
262;"MARCOS CABOTA SAMPER";"02F638"
263;"MARCOS ELIAS RUIZ SEHARA";"02F512"
264;"MARILA FILMS, S.L.";"02J1298"
265;"MARTA FERRERAS VIRUETE";"02F508"
266;"MARTA SALVADOR TATO";"02F541"
267;"MARVIN & WAYNE, S.L.";"02J872"
268;"MARÍA DE LAS NIEVES MAROTO AYLLÓN";"02F554"
269;"ME LO CREO, S.L.U.";"02J1222"
270;"MEDIA AUDIOVISUAL SERVICE MAS TELEVISIÓN, S.L.";"02J1536"
271;"MEDIA SOLUTIONS PARTNERS, S.L.";"02J1343"
272;"MEDITERRANEO MEDIA ENTERTAINMENT,S.L.";"02J764"
273;"MEDULA PRODUCCIONES,S.L.N.E.";"01J2877"
274;"MELIES PRODUCCIONES ENTERTAINMENT S.L.";"02J1575"
275;"MERCURIO FILMS, S.A.";"02J49"
276;"METAFORA VISUAL, S.L.";"02J1673"
277;"METRO GOLDWYN MAYER IBERICA, S.A.";"02J6"
278;"METROPOLIS DIXITAL, S. COOP. GALEGA";"02J1521"
279;"MIGUEL DE MIGUEL GRUAS SOLANO";"02F14"
280;"MIGUEL HERRERO HERRERO";"02F592"
281;"MIRABAL FILMS, S.L.";"02J1676"
282;"MIREN APERRIBAY IRASTORZA";"02F450"
283;"MOON ENTERTAINMENT, S.L.";"02J1531"
284;"MORDISCO FILMS, S.L.";"02J1192"
285;"MORENA FILMS, S.L.";"02J604"
286;"MORRIS COMUNICACIO, S.L.";"02J1427"
287;"MOSAICO FILMES DISTRIBUCIONES, S.L.";"02J976"
288;"MUAK CANARIAS, S.L.";"02J1697"
289;"MUBOX.STUDIO";"02J1478"
290;"MUSIDORA FILMS, S.A.";"02J111"
291;"MÓNICA DEL REY JORDÁ";"02F544"
292;"N. MEDIO COMUNICACION CONSULTORES 2000, S.L.";"02J1169"
293;"NANOUK FILMS, S.L.";"02J1228"
294;"NEKKENTI, A.I.E.";"02J1466"
295;"NEO ART PRODUCCIONES SL";"98J1609"
296;"New Frecuency";""
297;"NEW FREQUENCY, S.L.";"02J1097"
298;"NIRVANA FILMS S.A.";"02J579"
299;"NOCTURAMA, S.L.";"02J1337"
300;"NOON FILMS, S.L.";"09J1097"
301;"NOSTALGIA SHOP FILMS, A.I.E.";"02J1567"
302;"NOSTROMO PICTURES, S.L.";"02J1071"
303;"NOTORIOUS PICTURES SPAIN, S.L.U.";"02J1529"
304;"NOTRO FILMS,S.L.";"01J2929"
305;"NOUCINEMART, S.L.";"02J1091"
306;"NOVEOLAS PRODUCCIONES, S.L.";"02J1110"
307;"NUMAX, S. COOP. GALEGA";"02J1174"
308;"OCEANIKA ESTUDIOS DE CINE, S.L.";"02J1405"
309;"OLIETE FILMS, S.L.";"02J1012"
310;"OLLO VIVO, S.L.";"01J7430"
311;"ORIO PRODUKZIOAK, SA";"01J1272"
312;"OSCAR JESÚS ALEGRIA SUESCUN";"01F2892"
313;"OSCAR JESÚS ALEGRÍA SUESCUN";"02F607"
314;"OSCAR PARADA CASTELLANO";"02F623"
315;"PABLO CASANUEVA GUTIÉRREZ";"02F614"
316;"PABLO PEDRO LOZANO CHAVARRIA";"02F480"
317;"PACIENCIA FILMS, S.L.";"01J7972"
318;"PACO POCH CINEMA, S.L.";"02J900"
319;"PARACONPRODUCCIONES, S.L.";"02J1577"
320;"PARAMOUNT FILMS DE ESPAÑ S.A.";"95J5"
321;"Paramount Int'l";""
322;"PARAMOUNT SPAIN, S.L.";"02J819"
323;"PATCHOULI FILMS, S.L.";"02J1452"
324;"PATRIARCADOORGANISMONOCIVO, S.L.";"02J1510"
325;"PATRICIA BOCANEGRA HURTADO";"01F3678"
326;"PAUXA, S.C.";"02J1678"
327;"PAYCOM MULTIMEDIA, S.L.";"02J824"
328;"Phoenix Entertaiment";""
329;"PHOENIX ENTERTAINMENT, S.L.";"02J1393"
330;"PIMPI&NELLA FILMS, S.L.";"02J1590"
331;"PIRAMIDE FILMS DISTRIBUCION, S.L.";"02J640"
332;"PIZCA GUTIERREZ, S.L.";"01J4244"
333;"PLAN SECRETO S.L.";"01J6008"
334;"PLANETA MED, S.L.";"02J754"
335;"PLEAMAR FILMS, S.L.";"02J1651"
336;"Polar Star Films";""
337;"POTENZA PRODUCCIONES, S.L.";"02J970"
338;"PRODUCCION CINEMATOGRAFICA ESPAÑOLA S.A.";"95J6"
339;"PRODUCCION DE IMAGEN SINCRO, S.A.";"02J1508"
340;"PROYECFILM, S.L.";"02J1121"
341;"PROYECTO MANHATTAN, S.L.";"02J1762"
342;"PROYECTOS AUDIOVISUALES, ARQUEOLÓGICOS Y MULTIMEDIA MLK, S.L.";"02J1477"
343;"QUALITY MEDIA PRODUCCIONES, S.L";"02J1257"
344;"QUECHUA FILMS, S.L.";"02J1078"
345;"RAABTA PICTURES, S.L.";"02J1652"
346;"RED BUTTER FILMS, S.L.U.";"01J9460"
347;"Redwood Films";""
348;"RESCAT FILMS AUDIOVISUAL, S.L.";"02J1718"
349;"REVERSO FILMS, S.L.";"02J1331"
350;"RICARDO ZUBELZU GONZALEZ";"02F491"
351;"RINGO MEDIA, S.L.";"02J1675"
352;"Rita & Luca";""
353;"RIVER EVENTS HIGHWAY, S.L.";"02J1085"
354;"ROGELIO ENRÍQUEZ SOTO";"02F608"
355;"ROSEBUD FILMS S.L.";"02J499"
356;"RTVE";""
357;"Sagrera";""
358;"SALA46 FILMS, S. COOP. AND.";"02J1417"
359;"SARAO FILMS, S.L.";"01J5904"
360;"SEGARRA FILMS, S.L.U.";"02J897"
361;"SELECTAVISION, S.L.U.";"02J597"
362;"SELECTED FILMS, S.L.";"02J1064"
363;"SETE ART-DISCLUB, S.L.";"02J1633"
364;"Sheridan's Producciones";""
365;"SHERIDAN´S PRODUCCIONES, S.C.P.";"01J8159"
366;"Sherlock";""
367;"SHERLOCK FILMS, S.L.";"02J561"
368;"Sideral";""
369;"SIDERAL CINEMA, S.L.";"02J1462"
370;"SILDAVIA CINEMA, S.L.";"02J1109"
371;"SILENCIO CINEMA, S.L.";"02J1745"
372;"SIMETRÍA PRODUCCIONES, S.L.";"02J1710"
373;"Sin distribuidora";""
374;"Sin Parpadear";""
375;"SINESTESIA PRODUCCIONES, S.L.";"02J1553"
376;"SOCIEDAD GENERAL DE DERECHOS AUDIOVISUALES, S.A.";"02J505"
377;"SOGEPAQ DISTRIBUCION, S.A.";"02J527"
378;"SOLO CONTEMPORARY, S.L.U.";"02J1403"
379;"SON DE PRODUCCION, S.L";"02J1139"
380;"SON PELIS, S.L.";"02J1617"
381;"SONY PICTURES ENTERTAINMENT IBERIA, S.L.U.";"02J1289"
382;"SONY PICTURES HOME ENTERTAINMENT Y CIA S.R.C.";""
