"empresa_id";"nombre"
1;"100 Bares"
2;"13 E Movie, A.i.e. (01j8964)"
3;"15-l Films, S.l. (01j5578)"
4;"200 Wolf la Pelicula, A.i.e. (01j9676)"
5;"28f la Pelicula, A.i.e. (01j6982)"
6;"2iguales Films, S.l. (01j7016)"
7;"3 Doubles Producciones, S.l. (01j6714)"
8;"3000 Obstaculos, A.i.e. (01j8104)"
9;"3040 Cine, S.l. (01j8975)"
10;"32 Historias Producciones, S.l (01j5899)"
11;"34t"
12;"34t Cinema Ou"
13;"36 Caballos"
14;"39 Escalones Films Producciones, S.l. (01j7647)"
15;"39 Escalones Films, S.l. (01j7343)"
16;"4 A 4"
17;"4 Cats Pictures, S.l.u. (01j5613)"
18;"4a4 Productions"
19;"59 En Conserva, S.l. (01j4773)"
20;"601 Producciones Audiovisuales, S.l. (01j6753)"
21;"61 North"
22;"7 Springs Pictures"
23;"700 Pavos, A.i.e. (01j7124)"
24;"700g Films"
25;"80 Mundos"
26;"89 Productions"
27;"9am Media Lab"
28;"A Contracorriente Films, S.l. (01j4453)"
29;"A Contraluz Films, S.l. (01j2144)"
30;"A Este Lado de la Carretera, A.i.e. (01j6764)"
31;"A Film About Quiet Jazz, A.i.e. (01j7243)"
32;"A Moose In His Forties, S.l.u. (01j9333)"
33;"A Name Like This, S.l. (01j8304)"
34;"A Poco A Poco Producciones, S.l. (01j8141)"
35;"A Todo Tren 2 Lp, A.i.e. (01j8475)"
36;"A64 Films"
37;"Abacus, S. Coop. Catalana Limitada (01j8688)"
38;"Abanico Vision, S.l. (01j7000)"
39;"Abano Produccions, S.l. (01j4044)"
40;"Abbout Productions"
41;"Abra Prod, S.l. (01j2547)"
42;"Abrakam Estudio,s.l. (01j2123)"
43;"Abre Tu Mente, S.l. (01j6175)"
44;"Abuela Jon, S.l.u. (01j8850)"
45;"Abuela Tremenda, A.i.e. (01j10745)"
46;"Acaju Comunicacion Ambiental, S.l. (01j5768)"
47;"Acarino Films, S.l. (01j9359)"
48;"Acca Media, S.l. (01j5897)"
49;"Accion Films, Sa (01j538)"
50;"Acheloo Films, S.l. (01j5909)"
51;"Achtung Panda! Media"
52;"Acorn Studio, S.l. (01j8195)"
53;"Acronica Producciones, S.l (01j5895)"
54;"Activist 38"
55;"Acuerdos de Fluidos, A.i.e. (01j7555)"
56;"Adabaki Ekoizpenak Koop. Elk Txikia (01j6861)"
57;"Aday Entertainment, S.l. (01j9408)"
58;"Admirable Films, S.l. (01j7181)"
59;"Aelo Producciones, S.l. (01j11755)"
60;"Afrodita Audiovisual, A.i.e. (01j5160)"
61;"After The Summer, A.i.e. (01j8973)"
62;"Agallas Films, S.l. (01j5452)"
63;"Agata Films, S.a. (01j52)"
64;"Agenda 2030, S.l. (01j7363)"
65;"Agosto, la Película, A.i.e. (01j5995)"
66;"Aguacate & Calabaza, S.l. (01j7906)"
67;"Aguila Films, Sa (01j28)"
68;"Ah! Cine"
69;"Ainhoa Rodriguez Lopez (01f1863)"
70;"Ainhoa Urgoitia Santamaria (01f3675)"
71;"Aitor Echeverria Insausti (01f4275)"
72;"Aitor Lopez de Aberasturi (01f3630)"
73;"Aixerrota Films, S.l. (01j5704)"
74;"Ajimolido Films"
75;"Al Borde Films, S. Coop. Pequeña (01j6235)"
76;"Al Pati Produccions, S.l.u. (01j5824)"
77;"Alamar Cinema 161, A.i.e. (01j6673)"
78;"Alameda + Zamora"
79;"Alamo Audiovisual Cuarta Parte, A.i.e. (01j7496)"
80;"Alamo Audiovisual Quinta Parte, A.i.e. (01j7611)"
81;"Alamo Audiovisual, A. I. E. (01j6845)"
82;"Alamo Audiovisual, Segunda Parte, A.i.e. (01j7225)"
83;"Alamo Producciones Audiovisuales, S.l. (01j6728)"
84;"Alba María Calani Trell (01f4387)"
85;"Albella Audiovisual S.l. (01j4236)"
86;"Albena Produccions, S.l. (01j6563)"
87;"Albert Escuder Olondriz (01f3668)"
88;"Albert Naudin Bolibar (01f3741)"
89;"Alberto Gumersindo Plagaro Sanchez (01f2362)"
90;"Alberto José Redondo Villa (01f59727)"
91;"Alberto Pascual Rodriguez (01f2310)"
92;"Albinos la Película, A.i.e. (01j7802)"
93;"Alcaravan Films, A.i.e. (01j5841)"
94;"Alcarrás Films, A.i.e. (01j6953)"
95;"Alcazar Film Digital Services, S.l. (01j5270)"
96;"Aldudarrak Bideo (kanaldude)"
97;"Alebrije Cine y Video"
98;"Alegría Película, A.i.e. (01j7851)"
