"icaa_id";"titulo_icaa";"distribuidora_nacional_icaa";"distribuidor_internacional_icaa";"fecha_estreno_ficha";"tipo_icaa";"genero_icaa";"tags_icaa";"genero_final";"genero_fuente";"nacionalidad_paises_icaa";"directores_icaa";"guionistas_icaa";"subvenciones_icaa";"subvenciones_total";"empresas_productoras_icaa"
324;"MIL LEYENDAS, UN GRIAL";"PELICULA SIN DISTRIBUIDORA ASIGNADA (98J000)";"";"23/06/2025";"Cine - Documental";"Documental";"[""Documental"", ""Historia"", ""Religión"", ""Arqueología"", ""Catolicismo"", ""Valencia"", ""Santo Grial""]";"Documental";"ficha_genero";"España (100.0%)";"[""Manuel Cabo""]";"[""Manuel Cabo""]";"";0.0;"[{""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""MANUEL CABO SÁNCHEZ (01F3963)"", ""porcentaje_empresa"": 100.0}]"
522;"ISÓSCELES";"MARCOS ELIAS RUIZ SEHARA (02F512)";"";"03/03/2023";"Cine - Ficción";"Comedia";"[""Comedia""]";"Comedia";"ficha_genero";"España (100.0%)";"[""Ignacio Nacho""]";"[""Ignacio Nacho""]";"";0.0;"[{""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""ANTÍDOTO FILMS, S.L. (01J8501)"", ""porcentaje_empresa"": 81.75}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""PRODUCCIONES LA COCHERA, S.L. (01J8460)"", ""porcentaje_empresa"": 7.5}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""PRODUCCIONES SIERRA GADOR, S.L. (01J7076)"", ""porcentaje_empresa"": 10.0}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""LA DALIA FILMS, S.L. (01J6654)"", ""porcentaje_empresa"": 0.25}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""PERSONS FILMS, S.L. (01J7614)"", ""porcentaje_empresa"": 0.25}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""SALVADOR REINA GIRONA (01F4353)"", ""porcentaje_empresa"": 0.25}]"
873;"EL ESPÍRITU DE LA COLMENA";"C.B. FILMS, S.A. (02J13); WANDA VISION, S.A. (02J568); VIDEO MERCURY FILMS, S.A. (02J453); VIDEO MERCURY FILMS, S.A. (02J453); AVALON DISTRIBUCION AUDIOVISUAL, S.L. (02J784)";"";"05/10/1973";"Cine - Ficción";"Drama";"";"Drama";"ficha_genero";"España (100.0%)";"[""Erice, Víctor.""]";"[""Erice, Víctor"", ""Fernández Santos, Angel""]";"[{""concepto"": ""Ayudas a la Distribución de Largometrajes"", ""importe"": 10000.0}]";10000.0;"[{""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""ELIAS QUEREJETA GARATE (01F183)"", ""porcentaje_empresa"": 100.0}]"
921;"COMUNEROS";"CON UN PACK DE PELICULAS, S.L. (02J1367)";"";"16/06/2022";"Cine - Documental";"Documental";"[""Documental"", ""Historia""]";"Documental";"ficha_genero";"España (100.0%)";"[""Pablo García Sanz""]";"[""Pablo García Sanz"", ""Nerea Mugüerza"", ""Carlos Belloso""]";"";0.0;"[{""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""PLAN SECRETO S.L. (01J6008)"", ""porcentaje_empresa"": 50.0}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""VISUAL CREATIVE PRODUCCION AUDIOVISUAL S.L. (01J6011)"", ""porcentaje_empresa"": 50.0}]"
1022;"PATRIARCADO EL ORGANISMO NOCIVO";"PATRIARCADOORGANISMONOCIVO, S.L. (02J1510)";"";"17/03/2022";"Cine - Documental";"Documental";"[""Documental"", ""Violencia de género"", ""Mujeres"", ""Feminismo""]";"Documental";"ficha_genero";"España (100.0%)";"[""Teresa Soler Garrido"", ""Albert Sanfeliu Rodríguez""]";"[""Teresa Soler Garrido""]";"";0.0;"[{""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""PATRIARCADOORGANISMONOCIVO, S.L. (01J8374)"", ""porcentaje_empresa"": 100.0}]"
1415;"BARCELONA, NIT D´HIVERN";"CAMEO MEDIA, S.L. (02J1107)";"FILMAX";"10/11/2015";"Cine - Ficción";"Comedia";"";"Comedia";"ficha_genero";"España (100.0%)";"[""Orden, Dani De La""]";"[""Enric Navarro Serna"", ""Daniel González Guerrero"", ""Eduardo Sola""]";"[{""concepto"": ""Ayudas a la Amortización de Largometrajes - General"", ""importe"": 143061.17}]";143061.17;"[{""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""BARCELONA NIT DE FILMS, A.I.E. (01J6189)"", ""porcentaje_empresa"": 93.0}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""EL TERRAT DE PRODUCCIONS, S.L. (01J1720)"", ""porcentaje_empresa"": 5.0}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""SÁBADO PELICULAS, S.L. (01J5094)"", ""porcentaje_empresa"": 1.0}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""PLAYTIME MOVIES, S.L. (01J5579)"", ""porcentaje_empresa"": 1.0}]"
1421;"TRISTESSE";"HEMISPHERE FILMS, S.L.U. (02J1419)";"";"05/02/2021";"Cine - Ficción";"Comedia - drama";"[""Comedia"", ""Drama""]";"Comedia - drama";"ficha_genero";"España (100.0%)";"[""Emilio Ruiz Barrachina""]";"[""Emilio Ruiz Barrachina""]";"";0.0;"[{""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""HEMISPHERE FILMS, S.L.U. (01J7038)"", ""porcentaje_empresa"": 100.0}]"
1424;"LAS ARMAS NUNCA BORRARÁN TU SONRISA";"39 ESCALONES FILMS, S.L. (02J1049)";"";"13/03/2024";"Cine - Documental";"Histórica";"[""Documental"", ""Historia"", ""Drama""]";"Histórica";"ficha_genero";"España (100.0%)";"[""Adolfo Dufour Andia""]";"[""Adolfo Dufour Andia""]";"";0.0;"[{""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""ATRAPASUEÑOS, S. COOP. ANDALUZA (01J9433)"", ""porcentaje_empresa"": 100.0}]"
1488;"AMANECE, QUE NO ES POCO";"UNIVERSAL PICTURES INTERNATIONAL SPAIN, S.L. (02J22); VIDEO MERCURY FILMS, S.A. (02J453)";"";"17/01/1989";"Cine - Ficción";"";"";"Cine - Ficción";"ficha_tipo";"España (100.0%)";"[""Cuerda, José Luis""]";"[""Cuerda, José Luis""]";"";0.0;""
1517;"QUIÉN LO IMPIDE";"L´ATALANTE CINEMA, S.L.U. (02J1424)";"";"16/10/2021";"Cine - Documental";"Documental";"[""Documental"", ""Docu-ficción"", ""Juventud"", ""Adolescencia""]";"Documental";"ficha_genero";"España (100.0%)";"[""Jonás Trueba""]";"[""No Existe""]";"[{""concepto"": ""Ayudas Selectivas para la producción de largometrajes sobre proyecto"", ""importe"": 22972.0}]";22972.0;"[{""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""LOS ILUSOS FILMS, S.L. (01J5855)"", ""porcentaje_empresa"": 100.0}]"
1621;"PRÓXIMAMENTE ÚLTIMOS DÍAS";"PELICULA SIN DISTRIBUIDORA ASIGNADA (98J000)";"";"27/08/2021";"Cine - Documental";"Documental";"[""Social"", ""Documental""]";"Documental";"ficha_genero";"España (100.0%)";"[""Miquel Eek""]";"[""Miquel Eek""]";"";0.0;"[{""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""MOSAIC PRODUCCIONES AUDIOVISUALES, S.L. (01J7098)"", ""porcentaje_empresa"": 56.61}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""ENS PUBLIC DE RADIOTELEVISIO DE LES ILLES BALEARS (98J960)"", ""porcentaje_empresa"": 43.39}]"
1925;"MARÍA LA PORTUGUESA";"PELICULA SIN DISTRIBUIDORA ASIGNADA (98J000)";"";"08/04/2025";"Cine - Documental";"Documental";"[""Documental""]";"Documental";"ficha_genero";"España (100.0%)";"[""Eduardo Montero Saponi""]";"[""Eduardo Montero Saponi"", ""Ángel Del Río Sánchez""]";"";0.0;"[{""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""INTERMEDIA PRODUCCIONES, S.L. (01J1805)"", ""porcentaje_empresa"": 100.0}]"
1950;"CAMPANADAS A MEDIANOCHE";"BREPI FILMS, S.A. (02J7)";"";"16/11/1965";"Cine - Ficción";"";"";"Cine - Ficción";"ficha_tipo";"España (100.0%)";"[""Welles, Orson"", ""Segunda Unidad: Franco, Jesús""]";"[""Welles, Orson""]";"";0.0;"[{""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""INTERNACIONAL FILMS ESPAÑOLA, S.A. (01J97)"", ""porcentaje_empresa"": 0.0}]"
2002;"TIEMPO DE TORMENTA";"LOLAFILMS DISTRIBUCION, S.A. (02J572)";"LOLAFILMS DISTRIBUCIÓN, S.A.";"25/04/2003";"Cine - Ficción";"Drama";"";"Drama";"ficha_genero";"España (100.0%)";"[""Olea, Pedro""]";"[""Fernández, Miguel Ángel"", ""Górriz, Joaquín""]";"[{""concepto"": ""Ayudas a la Amortización de Largometrajes - General"", ""importe"": 652951.5}, {""concepto"": ""Ayudas a la Distribución de Largometrajes"", ""importe"": 30000.0}, {""concepto"": ""Ayudas a la Minoración de Intereses - Producción"", ""importe"": 26854.16}]";709805.66;"[{""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""ENRIQUE CEREZO PRODUCCIONES CINEMATOGRAFICAS, S.A.U. (01J1435)"", ""porcentaje_empresa"": 50.0}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""IBEROAMERICANA FILMS PRODUCCION,S.A. (01J746)"", ""porcentaje_empresa"": 40.0}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""LOLA 2002,S.L. (01J516)"", ""porcentaje_empresa"": 10.0}]"
2050;"POR UN PUÑADO DE DOLARES";"IZARO FILMS, S.A. (02J110); CLASSIC FILMS DISTRIBUCION, S.L. (02J879); PELICULA SIN DISTRIBUIDORA ASIGNADA (98J000)";"";"25/10/1965";"Cine - Ficción";"";"";"Cine - Ficción";"ficha_tipo";"España (100.0%)";"[""Leone, Sergio""]";"[""Leone, Sergio"", ""Catena, Victor A."", ""Comas, Jaime""]";"";0.0;"[{""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""ALVARO NUÑEZ M. MATURANA (01F109)"", ""porcentaje_empresa"": 100.0}]"
2121;"PICO REJA";"PHOENIX ENTERTAINMENT, S.L. (02J1393)";"";"17/06/2022";"Cine - Documental";"Documental";"[""Documental"", ""Memoria histórica""]";"Documental";"ficha_genero";"España (100.0%)";"[""Remedios Malvárez"", ""Arturo Andújar""]";"[""Remedios Malvárez"", ""Arturo Andújar""]";"";0.0;"[{""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""COMUNICACION AUDIOVISUAL SINGULARES, S.L. (01J6448)"", ""porcentaje_empresa"": 100.0}]"
2195;"FLOR DE MI SECRETO, LA";"WARNER ESPAÑOLA, S.A. (02J27); EMPATIA MEDIA, S.L. (02J769); PELICULA SIN DISTRIBUIDORA ASIGNADA (98J000)";"";"20/09/1995";"Cine - Ficción";"Drama";"";"Drama";"ficha_genero";"España (80.0%); Francia (20.0%)";"[""Almodóvar, Pedro.""]";"[""Almodóvar, Pedro.""]";"[{""concepto"": ""Ayudas a la Conservación de Negativos y soportes originales"", ""importe"": 17838.7}]";17838.7;"[{""pais"": ""ESPAÑA"", ""porcentaje_pais"": 80.0, ""empresa"": ""EL DESEO, SA (01J715)"", ""porcentaje_empresa"": 100.0}, {""pais"": ""FRANCIA"", ""porcentaje_pais"": 20.0, ""empresa"": ""CIBY 2000"", ""porcentaje_empresa"": null}]"
2725;"CONCHA ROBLES. EL PRECIO DE LA LIBERTAD.";"PELICULA SIN DISTRIBUIDORA ASIGNADA (98J000)";"";"25/11/2025";"Cine - Documental";"Biográfica";"[""Documental"", ""Biografía""]";"Biográfica";"ficha_genero";"España (100.0%)";"[""David Miralles""]";"[""David Miralles""]";"";0.0;"[{""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""UN NUEVO RENACER EL MUSICAL, A.I.E. (01J10421)"", ""porcentaje_empresa"": 100.0}]"
3024;"THE MAGNIFICENT STRANGER";"39 ESCALONES FILMS, S.L. (02J1049)";"";"13/10/2025";"Cine - Documental";"Documental";"[""Documental""]";"Documental";"ficha_genero";"España (100.0%)";"[""Miguel A. Guerra"", ""Iván Karras""]";"[""Iván Karras""]";"";0.0;"[{""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""EMB DOCUMENTAL, S.L. (01J9096)"", ""porcentaje_empresa"": 70.0}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""THE OTHER FILM PRODUCTION, S.L. (01J6847)"", ""porcentaje_empresa"": 10.0}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""NAIF FILMS, S.L.U. (01J7078)"", ""porcentaje_empresa"": 10.0}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""39 ESCALONES FILMS, S.L. (01J7343)"", ""porcentaje_empresa"": 10.0}]"
