"genero_id";"nombre"
1;"Acción"
2;"Adolescentes"
3;"Animación"
4;"Animación 3d"
5;"Arte"
6;"Aventuras"
7;"Biográfica"
8;"Ciencia ficción"
9;"Comedia"
10;"Comedia de acción"
11;"Comedia de terror"
12;"Comedia dramática"
13;"Comedia musical"
14;"Comedia negra"
15;"Comedia romántica"
16;"Costumbrista"
17;"Creación"
18;"Crimen"
19;"Cultura y espectáculos"
20;"Deporte"
21;"Distopía"
22;"Docudrama"
23;"Docuficción"
24;"Documental"
25;"Documental artes"
26;"Documental biográfico"
27;"Documental científico"
28;"Documental deportivo"
29;"Documental fútbol"
30;"Documental medio ambiente"
31;"Documental musical"
32;"Documental naturaleza"
33;"Documental pedagógico"
34;"Documental religioso"
35;"Documental social"
36;"Drama"
37;"Drama fantástico"
38;"Drama histórico"
39;"Drama romántica"
40;"Drama social"
41;"Educación medioambiental"
42;"Experimental"
43;"Falso documental"
44;"Familiar"
45;"Fantasía"
46;"Ficción"
47;"Histórica"
48;"Infantil"
49;"Investigacion"
50;"Melodrama"
51;"Misterio"
52;"Musical"
53;"Música moderna conciertos"
54;"Naturaleza"
55;"Negro"
56;"Policíaca"
57;"Realismo social"
58;"Religiosa"
59;"Road movie"
60;"Romántica"
61;"Social"
62;"Suspense"
63;"Terror"
64;"Terror fantastico"
65;"Thriller"
66;"Thriller drama"
67;"Thriller psicológico"
68;"Tragicomedia"
69;"Western"
