"guionista_id";"person_id_tmdb";"nombre";"sexo";"fuente_sexo";"pais";"fuente_pais";"nombre_credito_original"
1;229931;"Asghar Farhadi";"hombre";"tmdb";"IR";"tmdb_heuristico";""
2;1930872;"Ferrán Navarro-Beltrán";"hombre";"tmdb";"";"";""
3;1114075;"Vicente Pérez Herrero";"";"";"";"";""
4;1120691;"Antonio Drove";"hombre";"tmdb";"ES";"tmdb_heuristico";""
5;87506;"Antonio Larreta";"hombre";"tmdb";"UY";"tmdb_heuristico";""
6;4748222;"Jose Ramón Fernández Pinazo";"";"";"";"";""
7;2434913;"César Souto Vilanova";"";"";"";"";""
8;2434919;"Cristina Liz Graña";"";"";"";"";""
9;5349292;"Ramón Pineda";"";"";"";"";""
10;1452364;"Mercè Sarrias";"mujer";"wikidata";"ES";"wikidata";""
11;2522953;"Patricia Franquesa";"";"";"";"";""
12;96369;"Carlos Saura";"hombre";"tmdb";"ES";"tmdb_heuristico";""
13;37590;"Rafael Azcona";"hombre";"tmdb";"ES";"tmdb_heuristico";""
14;1115312;"Gaizka Urresti";"hombre";"wikidata";"ES";"wikidata";""
15;1284828;"Juan Barrero";"";"";"";"";""
16;5955689;"Moisés Garrido";"";"";"";"";""
17;3567270;"Evgeny Yablokov";"";"";"";"";""
18;1036577;"Elio Quiroga";"hombre";"tmdb";"ES";"wikidata";""
19;3778185;"Nick Igea";"";"";"";"";""
20;2020210;"Zebina Guerra";"mujer";"tmdb";"ES";"tmdb_heuristico";""
21;135468;"Juan Pablo Buscarini";"hombre";"tmdb";"AR";"tmdb_heuristico";""
22;4962452;"Pablo Enrique Bossi";"hombre";"manual";"AR";"manual";""
23;1316935;"Sergi Cameron";"hombre";"tmdb";"ES";"wikidata";""
24;1624337;"Pau Faus";"";"";"";"";""
25;3884067;"Júlia R. Aymar";"";"";"";"";""
26;5694090;"Marta García";"";"";"";"";""
27;4382575;"Ana L. Martín";"";"";"";"";""
28;19826;"Joel Joan";"hombre";"tmdb";"ES";"tmdb_heuristico";""
29;1105225;"Héctor Claramunt";"hombre";"wikidata";"";"";""
30;2445361;"Valeriano López";"";"";"";"";""
31;2181973;"Iratxe Fresneda";"mujer";"tmdb";"ES";"tmdb_heuristico";""
32;5702959;"Alberto Martos";"";"";"";"";""
33;113406;"Belén Macías";"mujer";"tmdb";"ES";"tmdb_heuristico";""
34;1304400;"Aitor Gabilondo";"hombre";"tmdb";"ES";"wikidata";""
35;1063543;"Verónica Fernández";"mujer";"tmdb";"";"";""
36;3324578;"Xiana do Teixeiro";"";"";"";"";""
37;17000;"Elena Manrique";"mujer";"tmdb";"";"";""
38;3217186;"Chiara Avesani";"";"";"";"";""
39;3538411;"Lluís Sellarès";"hombre";"tmdb";"";"";""
40;1459948;"Juanjo Giménez Peña";"hombre";"tmdb";"ES";"tmdb_heuristico";""
41;2372329;"Pere Altimira";"";"";"";"";""
42;2025649;"Pilar Palomero";"mujer";"tmdb";"ES";"tmdb_heuristico";""
43;4237979;"Coré Ruiz";"";"";"";"";""
44;4442477;"Raquel Herrera";"";"";"";"";""
45;3960733;"Juan Perez Fajardo";"";"";"";"";""
46;1641338;"David Calle";"hombre";"tmdb";"";"";""
47;1090718;"Sigfrid Monleón";"hombre";"wikidata";"ES";"wikidata";""
48;1121668;"Germán Roda";"";"";"";"";""
49;1744391;"Andrea Jaurrieta";"mujer";"tmdb";"ES";"tmdb_heuristico";""
50;3811620;"José Manuel Rodríguez Calvo";"";"";"";"";""
51;1909488;"José Manuel Gómez Vidal";"";"";"";"";""
52;6346352;"Sandra Romero";"";"";"";"";""
53;1966070;"Álvaro Gago";"hombre";"tmdb";"ES";"tmdb_heuristico";""
54;3788;"Jorge Guerricaechevarría";"hombre";"tmdb";"ES";"tmdb_heuristico";""
55;57865;"Álex de la Iglesia";"hombre";"tmdb";"ES";"tmdb_heuristico";""
56;25900;"Daniel Guzmán";"hombre";"tmdb";"ES";"tmdb_heuristico";""
57;1805365;"Octavio Guerra";"hombre";"tmdb";"ES";"tmdb_heuristico";""
58;2628141;"Gerard Oms";"hombre";"tmdb";"ES";"tmdb_heuristico";""
59;74909;"Dolores Fonzi";"mujer";"tmdb";"AR";"tmdb_heuristico";""
60;1331228;"David Pantaleón";"";"";"";"";""
61;3303861;"Amos Milbor";"";"";"";"";""
62;2389366;"Salvador Serrano";"hombre";"tmdb";"ES";"wikidata";""
63;90;"Isabel Coixet";"mujer";"tmdb";"ES";"tmdb_heuristico";""
64;2587719;"Juan Potau";"";"";"";"";""
65;1282574;"Paloma Concejero";"mujer";"tmdb";"ES";"tmdb_heuristico";""
66;3998718;"Laura Ferrero";"";"";"";"";""
67;1608135;"Guillermo Guerrero";"hombre";"manual";"ES";"manual";""
68;1462879;"Enric Pardo";"hombre";"manual";"ES";"manual";""
69;5736743;"David Pascual";"hombre";"manual";"ES";"manual";""
70;4152418;"Manuel Rossell";"";"";"";"";""
71;2428618;"Patricia Tamayo";"mujer";"tmdb";"CO";"tmdb_heuristico";""
72;4776926;"Lucía Casañ Rodríguez";"";"";"";"";""
73;4896283;"Itsaso Arana";"";"";"";"";""
74;5777600;"Dani Fabra";"hombre";"manual";"ES";"manual";""
75;2522604;"Claudia Reig";"mujer";"manual";"ES";"manual";""
76;1367159;"Adrián Silvestre";"hombre";"wikidata";"ES";"wikidata";""
77;1624805;"Ainhoa Andraka";"";"";"";"";""
78;2610510;"Larraitz Zuazo";"";"";"";"";""
79;2584715;"Zuri Goikoetxea";"";"";"";"";""
80;1049263;"Abel García Roure";"";"";"";"";""
81;1616022;"Avelina Prat";"mujer";"tmdb";"ES";"wikidata";""
82;2095830;"Vicente Arlandis";"";"";"";"";""
83;5775607;"Darío García Sanz";"";"";"";"";""
84;3184568;"Manu Trillo";"";"";"";"";""
85;226491;"Toni Soler";"hombre";"tmdb";"ES";"tmdb_heuristico";""
86;1788543;"Carmen Fernández Villalba";"";"";"";"";""
87;1360055;"Guillermo Benet";"hombre";"tmdb";"ES";"tmdb_heuristico";""
88;1809110;"Rafa Alberola";"";"";"";"";""
89;2617011;"Daniel Luna";"";"";"";"";""
90;2071650;"Eva Vizcarra";"mujer";"tmdb";"ES";"tmdb_heuristico";""
91;5844744;"Alejandro Hernández";"hombre";"manual";"CU";"manual";""
92;932363;"Mariano Barroso";"hombre";"tmdb";"ES";"tmdb_heuristico";""
