"titulo";"distribuidora_pdf_heuristica";"fecha_estreno";"recaudacion";"espectadores";"anio";"anio_reposicion";"titulo_busqueda";"articulo";"icaa_id";"titulo_icaa";"distribuidora_nacional_icaa";"distribuidor_internacional_icaa";"fecha_estreno_ficha";"tipo_icaa";"genero_icaa";"tags_icaa";"genero_final";"genero_fuente";"nacionalidad_paises_icaa";"directores_icaa";"guionistas_icaa";"subvenciones_icaa";"subvenciones_total";"empresas_productoras_icaa";"recaudacion_total";"espectadores_total";"anios_en_cartelera";"num_anios";"distribuidora_final";"distribuidora_fuente";"tmdb_id"
"091, policia al habla (1960) (re)";"Independent";"16/05/2025";42.0;12;2025;1960.0;"091, policia al habla";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";42.0;12;"2025";1;"Independent";"pdf_heuristica";""
"Todos lo saben";"Universal";"14/09/2018";83.0;18;2022;"";"Todos lo saben";"";100317.0;"TODOS LO SABEN";"UNIVERSAL PICTURES INTERNATIONAL SPAIN, S.L. (02J22)";"";"14/09/2018";"Cine - Ficción";"Drama";"[""Drama"", ""Thriller""]";"Drama";"ficha_genero";"España (50.0%); Francia (40.0%); Italia (10.0%)";"[""Asghar Farhadi""]";"[""Asghar Farhadi""]";"[{""concepto"": ""Ayudas Generales para la producción de largometrajes sobre proyecto"", ""importe"": 280000.0}]";280000.0;"[{""pais"": ""ESPAÑA"", ""porcentaje_pais"": 50.0, ""empresa"": ""MELCHOR GASPAR Y BALTASAR, A.I.E. (01J5372)"", ""porcentaje_empresa"": 98.5}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 50.0, ""empresa"": ""MORENA FILMS, S.L. (01J1866)"", ""porcentaje_empresa"": 1.5}, {""pais"": ""FRANCIA"", ""porcentaje_pais"": 40.0, ""empresa"": ""MEMENTO FILMS PRODUCTION"", ""porcentaje_empresa"": null}, {""pais"": ""ITALIA"", ""porcentaje_pais"": 10.0, ""empresa"": ""LUCKY RED"", ""porcentaje_empresa"": null}]";83.0;18;"2022";1;"UNIVERSAL PICTURES INTERNATIONAL SPAIN, S.L. (02J22)";"ficha_icaa";""
"Generacion silenciosa, La";"Independent";"10/09/2021";129.0;35;2021;"";"Generacion silenciosa";"La";100421.0;"LA GENERACIÓN SILENCIOSA";"PELICULA SIN DISTRIBUIDORA ASIGNADA (98J000)";"";"";"Cine - Documental";"Comedia - drama";"[""Documental"", ""LGTBIQ+"", ""Barcelona"", ""Franquismo""]";"Comedia - drama";"ficha_genero";"España (100.0%)";"[""Ferrán Navarro-Beltrán""]";"[""Ferrán Navarro-Beltrán""]";"";0.0;"[{""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""AMOROS PRODUCCIONES, S.L.U (01J4749)"", ""porcentaje_empresa"": 100.0}]";129.0;35;"2021";1;"PELICULA SIN DISTRIBUIDORA ASIGNADA (98J000)";"ficha_icaa";""
"Platon";"Independent";"08/10/2021";237.0;60;2021;"";"Platon";"";100517.0;"PLATÓN";"PELICULA SIN DISTRIBUIDORA ASIGNADA (98J000)";"";"04/06/2019";"Cine - Ficción";"Ficción";"";"Ficción";"ficha_genero";"España (100.0%)";"[""Iván López González""]";"[""Iván López González""]";"";0.0;"[{""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""INSULARIA CREADORES, S.L.N.E. (01J3563)"", ""porcentaje_empresa"": 100.0}]";237.0;60;"2021";1;"PELICULA SIN DISTRIBUIDORA ASIGNADA (98J000)";"ficha_icaa";""
"Agua";"Independent";"11/02/2022";1975.0;319;2022;"";"Agua";"";100820.0;"AGUA";"LAS PRODUCCIONES DE LOS IMAGINARIOS. PRODUCCIONES AUDIOVISUALES, S.L.U. (02J1509)";"";"03/12/2022";"Cine - Experimental";"Drama";"[""Drama""]";"Drama";"ficha_genero";"España (100.0%)";"[""Vicente Pérez Herrero""]";"[""Vicente Pérez Herrero"", ""Marta Martínez Rodríguez""]";"";0.0;"[{""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""LAS PRODUCCIONES DE LOS IMAGINARIOS, PRODUCCIONES AUDIOVISUALES, S.L. (01J6746)"", ""porcentaje_empresa"": 100.0}]";2296.0;357;"2022,2023";2;"LAS PRODUCCIONES DE LOS IMAGINARIOS. PRODUCCIONES AUDIOVISUALES, S.L.U. (02J1509)";"ficha_icaa";""
"Verdad sobre el caso Savolta, La (1979) (re)";"Independent";"18/03/2024";9.0;2;2024;1979.0;"Verdad sobre el caso Savolta";"La";100878.0;"VERDAD SOBRE EL CASO SAVOLTA, LA";"CINEMA 3 S.A. (02J170)";"";"04/11/1989";"Cine - Ficción";"";"";"Cine - Ficción";"ficha_tipo";"España (50.0%); Francia (20.0%); Italia (30.0%)";"[""Drove, Antonio.""]";"[""Drove, Antonio Larreta, Antonio""]";"";0.0;"[{""pais"": ""ESPAÑA"", ""porcentaje_pais"": 50.0, ""empresa"": ""PRODUCCIONES CINEMAT. DOMINGO PEDRET, SA (01J378)"", ""porcentaje_empresa"": 100.0}, {""pais"": ""ITALIA"", ""porcentaje_pais"": 30.0, ""empresa"": ""FILMALFHA"", ""porcentaje_empresa"": null}, {""pais"": ""FRANCIA"", ""porcentaje_pais"": 20.0, ""empresa"": ""NEF FIFFUSION"", ""porcentaje_empresa"": null}]";9.0;2;"2024";1;"CINEMA 3 S.A. (02J170)";"ficha_icaa";""
"Amores brujos";"Syldavia";"12/06/2025";2149.0;364;2025;"";"Amores brujos";"";100920.0;"AMORES BRUJOS";"SILDAVIA CINEMA, S.L. (02J1109)";"";"12/06/2025";"Cine - Documental";"Documental artes";"[""Documental"", ""Biografía"", ""Musical"", ""Flamenco"", ""Historia"", ""Romance"", ""Drama""]";"Documental artes";"ficha_genero";"España (100.0%)";"[""Lucía Álvarez""]";"[""José Ramón Fernández""]";"";0.0;"[{""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""MEZZOFORTE 111, S.L.U. (01J8008)"", ""porcentaje_empresa"": 80.0}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""FTFCAM, S.L. (01J5710)"", ""porcentaje_empresa"": 20.0}]";2149.0;364;"2025";1;"SILDAVIA CINEMA, S.L. (02J1109)";"ficha_icaa";""
"Foreign Song, A";"Independent";"25/04/2025";552.0;100;2025;"";"Foreign Song, A";"";101120.0;"A FOREIGN SONG";"PELICULA SIN DISTRIBUIDORA ASIGNADA (98J000)";"";"25/04/2025";"Cine - Experimental";"Documental artes";"[""Experimental"", ""Documental"", ""Arte"", ""Literatura"", ""Poesía""]";"Documental artes";"ficha_genero";"España (100.0%)";"[""César Souto""]";"[""César Souto"", ""Cristina Liz""]";"[{""concepto"": ""Ayudas Selectivas para la producción de largometrajes sobre proyecto"", ""importe"": 50000.0}]";50000.0;"[{""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""MATRIUSKA PRODUCCIONES, S.L. (01J2985)"", ""porcentaje_empresa"": 100.0}]";552.0;100;"2025";1;"PELICULA SIN DISTRIBUIDORA ASIGNADA (98J000)";"ficha_icaa";""
"Furgo, La";"Sideral";"20/06/2025";28408.0;4513;2025;"";"Furgo";"La";101222.0;"LA FURGO";"SIDERAL CINEMA, S.L. (02J1462)";"";"18/06/2025";"Cine - Ficción";"Comedia - drama";"[""Drama"", ""Comedia"", ""Dramedia"", ""Road movie"", ""Barcelona"", ""Basado en un cómic"", ""Partes de Animación"", ""2D""]";"Comedia - drama";"ficha_genero";"España (100.0%)";"[""Eloy Calvo Campos""]";"[""Ramón Pineda"", ""Mercè Sarrias""]";"";0.0;"[{""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""TEIDEES AUDIOVISUALS, S.L. (01J5417)"", ""porcentaje_empresa"": 100.0}]";28408.0;4513;"2025";1;"SIDERAL CINEMA, S.L. (02J1462)";"ficha_icaa";""
"Diario de mi sextorsion";"Syldavia";"11/10/2024";1700.0;266;2024;"";"Diario de mi sextorsion";"";101420.0;"DIARIO DE MI SEXTORSIÓN";"SILDAVIA CINEMA, S.L. (02J1109)";"";"11/10/2024";"Cine - Documental";"Documental";"[""Documental"", ""Thriller""]";"Documental";"ficha_genero";"España (100.0%)";"[""Patricia Franquesa""]";"[""Patricia Franquesa""]";"[{""concepto"": ""Ayudas Selectivas para la producción de largometrajes sobre proyecto"", ""importe"": 140250.0}]";140250.0;"[{""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""GADEA PRODUCTIONS, S.L. (01J6353)"", ""porcentaje_empresa"": 66.53}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""CORPORACIÓ CATALANA DE MITJANS AUDIOVISUALS, S.A. (98J4957)"", ""porcentaje_empresa"": 4.96}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""RINGO MEDIA, S.L. (01J6800)"", ""porcentaje_empresa"": 28.51}]";1700.0;266;"2024";1;"SILDAVIA CINEMA, S.L. (02J1109)";"ficha_icaa";""
"Ay, Carmela (1990) (re)";"Independent";"13/11/2022";50.0;7;2022;1990.0;"Ay, Carmela";"";101489.0;"AY, CARMELA!";"UNIVERSAL PICTURES INTERNATIONAL SPAIN, S.L. (01J1481); VIDEO MERCURY FILMS, S.A. (02J453); AVALON DISTRIBUCION AUDIOVISUAL, S.L. (02J784)";"";"15/03/1990";"Cine - Ficción";"";"";"Cine - Ficción";"ficha_tipo";"España (70.0%); Italia (30.0%)";"[""Saura, Carlos""]";"[""Saura, Carlos"", ""Azcona, Rafael""]";"";0.0;"[{""pais"": ""ESPAÑA"", ""porcentaje_pais"": 70.0, ""empresa"": ""X Y Z DESARROLLOS, S.A. (01J568)"", ""porcentaje_empresa"": 100.0}, {""pais"": ""ITALIA"", ""porcentaje_pais"": 30.0, ""empresa"": ""ELLEPI FILMS SRL"", ""porcentaje_empresa"": null}]";50.0;7;"2022";1;"UNIVERSAL PICTURES INTERNATIONAL SPAIN, S.L. (01J1481); VIDEO MERCURY FILMS, S.A. (02J453); AVALON DISTRIBUCION AUDIOVISUAL, S.L. (02J784)";"ficha_icaa";""
