"titulo";"distribuidora_pdf_heuristica";"fecha_estreno";"recaudacion";"espectadores";"anio";"anio_reposicion";"titulo_busqueda";"articulo";"icaa_id";"titulo_icaa";"distribuidora_nacional_icaa";"distribuidor_internacional_icaa";"fecha_estreno_ficha";"tipo_icaa";"genero_icaa";"tags_icaa";"genero_final";"genero_fuente";"nacionalidad_paises_icaa";"directores_icaa";"guionistas_icaa";"subvenciones_icaa";"subvenciones_total";"empresas_productoras_icaa";"clave_grupo"
"A todo tren. Destino Asturias";"Warner Bros";"08/07/2021";8493358.0;1500811;2021;"";"A todo tren. Destino Asturias";"";157420.0;"¡A TODO TREN! DESTINO ASTURIAS";"WARNER BROS ENTERTAINMENT ESPAÑA, S.L. (02J728)";"LATIDO FILMS (98J1003); LATIDO CONSORCIO EXPORTACIÓN DE CINE ESPAÑOL, S.L. (07J152)";"08/07/2021";"Cine - Ficción";"Comedia";"[""Comedia"", ""Familiar""]";"Comedia";"ficha_genero";"España (100.0%)";"[""Santiago Segura""]";"[""Santiago Segura"", ""Marta González De Vega""]";"[{""concepto"": ""Ayudas Generales para la producción de largometrajes sobre proyecto"", ""importe"": 480000.0}]";480000.0;"[{""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""TODOS AL TREN LA PELICULA, A.I.E. (01J7884)"", ""porcentaje_empresa"": 99.0}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""ATRESMEDIA CINE, S.L. (01J2040)"", ""porcentaje_empresa"": 0.5}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""BOWFINGER INTERNATIONAL PICTURES, S.L. (01J2830)"", ""porcentaje_empresa"": 0.5}]";"157420"
"Way Down";"Sony";"12/11/2021";5628247.0;887897;2021;"";"Way Down";"";41519.0;"WAY DOWN";"SONY PICTURES ENTERTAINMENT IBERIA, S.L.U. (02J1289)";"";"12/11/2021";"Cine - Ficción";"Aventuras";"[""Aventuras"", ""Acción"", ""Thriller"", ""Atracos - Robos""]";"Aventuras";"ficha_genero";"España (100.0%)";"[""Jaume Balagueró""]";"[""Michel Gaztambide"", ""Andres Koppel"", ""Rafa Martínez"", ""Rowan Dinar Athale"", ""Borja González Santaolalla""]";"[{""concepto"": ""Ayudas Generales para la producción de largometrajes sobre proyecto"", ""importe"": 700000.0}]";700000.0;"[{""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""EL TESORO DE DRAKE, A.I.E. (01J7333)"", ""porcentaje_empresa"": 89.5}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""TELECINCO CINEMA, S.A.U. (01J2383)"", ""porcentaje_empresa"": 10.0}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""THINK STUDIO, S.L.U. (01J3173)"", ""porcentaje_empresa"": 0.25}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""PRODUCCIONES CINEMATOGRAFICAS CIUDADANO CISKUL, S.L. (01J4000)"", ""porcentaje_empresa"": 0.25}]";"41519"
"Operacion Camaron";"Walt Disney";"24/06/2021";3522415.0;597700;2021;"";"Operacion Camaron";"";56519.0;"OPERACIÓN CAMARÓN";"THE WALT DISNEY COMPANY IBERIA, S.L. (02J609)";"FILMAX (INTERNATIONAL SALES) (98J1061)";"22/06/2021";"Cine - Ficción";"Comedia";"[""Acción"", ""Comedia""]";"Comedia";"ficha_genero";"España (100.0%)";"[""Carlos Therón""]";"[""Manuel Burque Hodgson"", ""Josep Gatell Castro""]";"[{""concepto"": ""Ayudas Generales para la producción de largometrajes sobre proyecto"", ""importe"": 1000000.0}]";1000000.0;"[{""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""LA PEPA LA PELICULA, A.I.E. (01J6649)"", ""porcentaje_empresa"": 89.0}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""TELECINCO CINEMA, S.A.U. (01J2383)"", ""porcentaje_empresa"": 10.0}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""LA PEPA, P.C. S.L. (01J6775)"", ""porcentaje_empresa"": 1.0}]";"56519"
"Buen patron, El";"Tri Pictures";"15/10/2021";3336892.0;528523;2021;"";"Buen patron";"El";159020.0;"EL BUEN PATRÓN";"TRIPICTURES, S.L. (02J1114)";"";"14/10/2021";"Cine - Ficción";"Comedia - drama";"[""Comedia"", ""Drama""]";"Comedia - drama";"ficha_genero";"España (100.0%)";"[""Fernando León De Aranoa""]";"[""Fernando León De Aranoa""]";"[{""concepto"": ""Ayudas Generales para la producción de largometrajes sobre proyecto"", ""importe"": 1400000.0}]";1400000.0;"[{""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""BASCULAS BLANCO, A.I.E. (01J8033)"", ""porcentaje_empresa"": 99.0}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""REPOSADO PRODUCCIONES CINEMATOGRAFICAS, S.L. (01J2711)"", ""porcentaje_empresa"": 0.5}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""MEDIAPRO CINE, S.L.U. (01J7344)"", ""porcentaje_empresa"": 0.5}]";"159020"
"Maixabel";"Walt Disney";"24/09/2021";2828416.0;515293;2021;"";"Maixabel";"";157320.0;"MAIXABEL";"THE WALT DISNEY COMPANY IBERIA, S.L. (02J609)";"FILM FACTORY ENTERTAINMENT, S.L. (02J961)";"24/09/2021";"Cine - Ficción";"Drama";"[""Drama"", ""Basado en hechos reales"", ""ETA""]";"Drama";"ficha_genero";"España (100.0%)";"[""Iciar Bollain""]";"[""Iciar Bollain"", ""Isa Campo""]";"[{""concepto"": ""Ayudas Generales para la producción de largometrajes sobre proyecto"", ""importe"": 840000.0}]";840000.0;"[{""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""MAIXABEL FILM, A.I.E. (01J7847)"", ""porcentaje_empresa"": 99.0}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""KOWALSKI FILMS, S.L. (01J3812)"", ""porcentaje_empresa"": 0.5}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""FEELGOOD MEDIA, S.L. (01J6313)"", ""porcentaje_empresa"": 0.5}]";"157320"
"Madres paralelas";"Sony";"08/10/2021";2627717.0;426582;2021;"";"Madres paralelas";"";151020.0;"MADRES PARALELAS";"SONY PICTURES ENTERTAINMENT IBERIA, S.L.U. (02J1289)";"";"08/10/2021";"Cine - Ficción";"Drama";"[""Drama"", ""Maternidad""]";"Drama";"ficha_genero";"España (100.0%)";"[""Pedro Almodóvar""]";"[""Pedro Almodóvar""]";"[{""concepto"": ""Ayudas Generales para la producción de largometrajes sobre proyecto"", ""importe"": 480000.0}]";480000.0;"[{""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""REMOTAMENTE FILMS, A.I.E. (01J7877)"", ""porcentaje_empresa"": 95.0}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""EL DESEO D.A. S.L. (01J2217)"", ""porcentaje_empresa"": 5.0}]";"151020"
"Mama o Papa";"Warner Bros";"17/12/2021";1814261.0;295223;2021;"";"Mama o Papa";"";53020.0;"MAMÁ O PAPÁ";"WARNER BROS ENTERTAINMENT ESPAÑA, S.L. (02J728)";"FILM FACTORY ENTERTAINMENT, S.L. (02J961)";"17/12/2021";"Cine - Ficción";"Comedia";"[""Comedia"", ""Humor negro"", ""Divorcio"", ""Matrimonio"", ""Relaciones familiares""]";"Comedia";"ficha_genero";"España (100.0%)";"[""Dani De La Orden""]";"[""Eric Navarro""]";"";0.0;"[{""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""ÁLAMO AUDIOVISUAL SÉPTIMA PARTE, A.I.E. (01J7784)"", ""porcentaje_empresa"": 99.3}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""ATRESMEDIA CINE, S.L. (01J2040)"", ""porcentaje_empresa"": 0.25}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""WARNER BROS ENTERTAINMENT ESPAÑA, S.L. (01J2798)"", ""porcentaje_empresa"": 0.25}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""ALAMO PRODUCCIONES AUDIOVISUALES, S.L. (01J6728)"", ""porcentaje_empresa"": 0.2}]";"53020"
"Familia perfecta, La";"Universal";"03/12/2021";1309944.0;202597;2021;"";"Familia perfecta";"La";157419.0;"LA FAMILIA PERFECTA";"UNIVERSAL PICTURES INTERNATIONAL SPAIN, S.L. (02J22)";"";"03/12/2021";"Cine - Ficción";"Comedia";"[""Comedia""]";"Comedia";"ficha_genero";"España (100.0%)";"[""Arantxa Echevarría""]";"[""Olatz Arroyo""]";"[{""concepto"": ""Ayudas Generales para la producción de largometrajes sobre proyecto"", ""importe"": 200000.0}]";200000.0;"[{""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""THE SNAKE FILMS, A.I.E. (01J6733)"", ""porcentaje_empresa"": 98.0}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""ATRESMEDIA CINE, S.L. (01J2040)"", ""porcentaje_empresa"": 1.0}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""LAZONA PRODUCCIONES, S.L. (01J6288)"", ""porcentaje_empresa"": 1.0}]";"157419"
"D'Artacan y los tres mosqueperros";"A Contracorriente";"18/08/2021";1181161.0;216848;2021;"";"D'Artacan y los tres mosqueperros";"";193316.0;"D´ARTACÁN Y LOS TRES MOSQUEPERROS";"A CONTRACORRIENTE FILMS, S.L. (02J861)";"";"17/08/2021";"Cine - Animación";"Animación";"";"Animación";"ficha_genero";"Sin determinar (100.0%)";"[""Toni Garcia""]";"";"";0.0;"[{""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""APOLO FILMS, S.L (01J6274)"", ""porcentaje_empresa"": 100.0}]";"193316"
"García y García";"A Contracorriente";"27/08/2021";1025363.0;176181;2021;"";"García y García";"";158619.0;"GARCÍA Y GARCÍA";"A CONTRACORRIENTE FILMS, S.L. (02J861)";"LATIDO CONSORCIO EXPORTACIÓN DE CINE ESPAÑOL, S.L. (07J152)";"24/08/2021";"Cine - Ficción";"Comedia";"[""Comedia"", ""Familia"", ""Aventuras""]";"Comedia";"ficha_genero";"España (100.0%)";"[""Ana Murugarren""]";"[""Ana Murugarren"", ""Ana Galán""]";"[{""concepto"": ""Ayudas Generales para la producción de largometrajes sobre proyecto"", ""importe"": 200000.0}]";200000.0;"[{""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""VOLAR ES UN PLACER, A.I.E. (01J7578)"", ""porcentaje_empresa"": 99.0}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""BLOGMEDIA, S.L. (01J3446)"", ""porcentaje_empresa"": 0.5}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""CLARQ FILMS, S.L. (01J7579)"", ""porcentaje_empresa"": 0.5}]";"158619"
