"titulo";"distribuidora_pdf_heuristica";"fecha_estreno";"recaudacion";"espectadores";"anio";"anio_reposicion";"titulo_busqueda";"articulo"
"A todo tren. Destino Asturias";"Warner Bros";"08/07/2021";8493358.0;1500811;2021;"";"A todo tren. Destino Asturias";""
"Way Down";"Sony";"12/11/2021";5628247.0;887897;2021;"";"Way Down";""
"Operacion Camaron";"Walt Disney";"24/06/2021";3522415.0;597700;2021;"";"Operacion Camaron";""
"Buen patron, El";"Tri Pictures";"15/10/2021";3336892.0;528523;2021;"";"Buen patron";"El"
"Maixabel";"Walt Disney";"24/09/2021";2828416.0;515293;2021;"";"Maixabel";""
"Madres paralelas";"Sony";"08/10/2021";2627717.0;426582;2021;"";"Madres paralelas";""
"Mama o Papa";"Warner Bros";"17/12/2021";1814261.0;295223;2021;"";"Mama o Papa";""
"Familia perfecta, La";"Universal";"03/12/2021";1309944.0;202597;2021;"";"Familia perfecta";"La"
"D'Artacan y los tres mosqueperros";"A Contracorriente";"18/08/2021";1181161.0;216848;2021;"";"D'Artacan y los tres mosqueperros";""
"García y García";"A Contracorriente";"27/08/2021";1025363.0;176181;2021;"";"García y García";""
"Hasta el cielo";"Universal";"18/12/2020";1021719.0;156723;2021;"";"Hasta el cielo";""
"Descarrilados";"Sony";"20/08/2021";992014.0;171104;2021;"";"Descarrilados";""
"Leyes de la frontera, Las";"Warner Bros";"08/10/2021";662962.0;106359;2021;"";"Leyes de la frontera";"Las"
"Pan de limón con semillas de amapola";"Filmax";"12/11/2021";592770.0;100238;2021;"";"Pan de limón con semillas de amapola";""
"Mediterraneo";"DeAPlaneta";"01/10/2021";476277.0;77382;2021;"";"Mediterraneo";""
"Niñas, Las";"Bteam Pictures";"04/09/2020";380905.0;66339;2021;"";"Niñas";"Las"
"Tengamos la fiesta en Paz";"Infinito mas uno";"03/12/2021";299215.0;49764;2021;"";"Tengamos la fiesta en Paz";""
"España, la primera globalizacion";"Version Digital";"15/10/2021";297321.0;46170;2021;"";"España, la primera globalizacion";""
"Amor en su lugar, El";"A Contracorriente";"03/12/2021";295861.0;45774;2021;"";"Amor en su lugar";"El"
"Medjugorje, la pelicula";"European Dreams Factory";"01/10/2021";285740.0;44622;2021;"";"Medjugorje, la pelicula";""
"Poliamor para principiantes";"Vertice";"21/05/2021";272517.0;45292;2021;"";"Poliamor para principiantes";""
"Cuñados";"Filmax";"09/04/2021";265578.0;47127;2021;"";"Cuñados";""
"Chavalas";"Filmax";"03/09/2021";242260.0;41988;2021;"";"Chavalas";""
"Vivo";"Bosco Films";"09/04/2021";240946.0;37591;2021;"";"Vivo";""
"Hija, La";"Caramel Films";"26/11/2021";233277.0;39640;2021;"";"Hija";"La"
"Cuidado con lo que deseas";"A Contracorriente";"12/11/2021";220887.0;38595;2021;"";"Cuidado con lo que deseas";""
"Donde caben dos";"Filmax";"30/07/2021";216301.0;35779;2021;"";"Donde caben dos";""
"Refugio, El";"Filmax";"26/11/2021";180269.0;30188;2021;"";"Refugio";"El"
"Verano que vivimos, El";"Warner Bros";"04/12/2020";166605.0;27017;2021;"";"Verano que vivimos";"El"
"Agente Topo, El";"Bteam Pictures";"18/03/2021";159789.0;27653;2021;"";"Agente Topo";"El"
"Amanece en Calcuta";"European Dreams Factory";"16/04/2021";130827.0;21763;2021;"";"Amanece en Calcuta";""
"Casa del caracol, La";"Filmax";"11/06/2021";127149.0;20673;2021;"";"Casa del caracol";"La"
"Con quién viajas";"A Contracorriente";"10/09/2021";125764.0;22373;2021;"";"Con quién viajas";""
"Sustituto, El";"Karma";"29/10/2021";124451.0;20668;2021;"";"Sustituto";"El"
"Lodo, El";"Vertice";"10/12/2021";124354.0;20688;2021;"";"Lodo";"El"
"Sevillanas de Brooklyn";"Filmax";"17/09/2021";109508.0;20167;2021;"";"Sevillanas de Brooklyn";""
"Inconveniente, El";"Filmax";"18/12/2020";108614.0;19058;2021;"";"Inconveniente";"El"
"Sis dies corrents";"Filmax";"03/12/2021";97714.0;14683;2021;"";"Sis dies corrents";""
"Non Dago Mikel?";"Atera Films";"26/02/2021";82958.0;15061;2021;"";"Non Dago Mikel?";""
"Erase una vez en Euskadi";"Entertainment One Films";"29/10/2021";80415.0;14154;2021;"";"Erase una vez en Euskadi";""
"Cover, El";"Entertainment One Films";"23/07/2021";73105.0;12474;2021;"";"Cover";"El"
"Libertad";"Avalon Distribución";"19/11/2021";70455.0;11887;2021;"";"Libertad";""
"Sentimental";"Filmax";"30/10/2020";69584.0;10795;2021;"";"Sentimental";""
"Claret";"Proyecfilm";"24/09/2021";68567.0;13894;2021;"";"Claret";""
"Dardara";"Atera Films";"18/03/2021";66584.0;12128;2021;"";"Dardara";""
"Boda de Rosa, La";"Filmax";"21/08/2020";59492.0;10198;2021;"";"Boda de Rosa";"La"
"Nora";"Sherlock";"03/09/2021";57061.0;11078;2021;"";"Nora";""
"Club del paro, El";"Vertice";"17/09/2021";53224.0;9456;2021;"";"Club del paro";"El"
"Vida era eso, La";"Elamedia";"10/12/2021";53117.0;9124;2021;"";"Vida era eso";"La"
"Nieva en Benidorm";"Bteam Pictures";"11/12/2020";52318.0;9009;2021;"";"Nieva en Benidorm";""
"Ane";"Syldavia";"16/10/2020";50495.0;9228;2021;"";"Ane";""
"Semana Santa (re)";"ConUnPack";"01/02/2019";47860.0;1566;2021;"";"Semana Santa";""
"Vampira de Barcelona, La";"Filmax";"04/12/2020";42095.0;6280;2021;"";"Vampira de Barcelona";"La"
"Un efecto optico";"Filmin";"26/03/2021";37543.0;6105;2021;"";"Un efecto optico";""
"Akelarre";"Avalon Distribución";"02/10/2020";36213.0;6545;2021;"";"Akelarre";""
"Libertad";"A Contracorriente";"26/03/2021";34540.0;5867;2021;"";"Libertad";""
"100 dias con la Tata";"Bteam Pictures";"29/12/2021";34288.0;5522;2021;"";"100 dias con la Tata";""
"Piel del Volcan, La";"Las Hormigas negras";"21/05/2021";32452.0;5214;2021;"";"Piel del Volcan";"La"
"Todas las lunas (Ilargi Guztiak)";"Filmax";"14/05/2021";32401.0;5902;2021;"";"Todas las lunas (Ilargi Guztiak)";""
"Josep";"Filmin";"04/12/2020";32122.0;5030;2021;"";"Josep";""
"Año de la furia, El";"Filmax";"28/05/2021";30233.0;5368;2021;"";"Año de la furia";"El"
"Solo una vez";"A Contracorriente";"11/06/2021";26053.0;4652;2021;"";"Solo una vez";""
"Josefina";"Super 8";"05/11/2021";24989.0;4484;2021;"";"Josefina";""
"Consecuencias, Las";"Syldavia";"17/09/2021";24899.0;4436;2021;"";"Consecuencias";"Las"
"Espiritu sagrado";"Aventura Cine";"26/11/2021";23887.0;3846;2021;"";"Espiritu sagrado";""
"Ama";"Filmax";"16/07/2021";21943.0;3772;2021;"";"Ama";""
"Tierra Santa, El ultimo peregrino";"European Dreams Factory";"21/05/2021";20684.0;3428;2021;"";"Tierra Santa, El ultimo peregrino";""
"Adú";"Paramount Int'l";"31/01/2020";19557.0;3290;2021;"";"Adú";""
"Tres";"Filmax";"05/11/2021";19427.0;3256;2021;"";"Tres";""
"Destello bravio";"Filmin";"18/06/2021";19297.0;3143;2021;"";"Destello bravio";""
"Sueño de Sigena, El";"Alfa Pictures";"09/11/2021";19284.0;3502;2021;"";"Sueño de Sigena";"El"
"Hombre muerto no sabe vivir";"Filmax";"02/07/2021";19226.0;3275;2021;"";"Hombre muerto no sabe vivir";""
"Valentina";"Super 8";"10/12/2021";19116.0;3477;2021;"";"Valentina";""
"Nacion";"Atalante";"26/03/2021";18192.0;3483;2021;"";"Nacion";""
"Alegria";"Caramel Films";"10/12/2021";17824.0;2971;2021;"";"Alegria";""
"Quien lo impide";"Atalante";"22/10/2021";16529.0;2847;2021;"";"Quien lo impide";""
"Cronica de una tormenta";"Syldavia";"30/04/2021";16452.0;3168;2021;"";"Cronica de una tormenta";""
"Año del descubrimiento, El";"Begin Again Films";"13/11/2020";16447.0;2877;2021;"";"Año del descubrimiento";"El"
"Ons";"Bteam Pictures";"18/12/2020";15414.0;2817;2021;"";"Ons";""
"No mataras";"Filmax";"16/10/2020";15106.0;2488;2021;"";"No mataras";""
"Panteras";"Wanda";"05/11/2021";14064.0;2541;2021;"";"Panteras";""
"Maragall i la Lluna";"Benece";"29/01/2021";13077.0;2198;2021;"";"Maragall i la Lluna";""
"My Mexican Bretzel";"Avalon Distribución";"11/12/2020";12217.0;2083;2021;"";"My Mexican Bretzel";""
"Vientre del mar, El";"Elastica";"12/11/2021";11759.0;1967;2021;"";"Vientre del mar";"El"
"Dues nits d'ahir, Les (Las dos noches de ayer)";"Splendor Films";"12/03/2021";11697.0;1951;2021;"";"Dues nits d'ahir, Les (Las dos noches de ayer)";""
"Karen";"Begin Again Films";"04/06/2021";10881.0;1993;2021;"";"Karen";""
"Quince";"Independent";"20/03/2021";10434.0;2034;2021;"";"Quince";""
"Natura Bizia";"Barton";"16/04/2021";10280.0;1891;2021;"";"Natura Bizia";""
"Historias lamentables";"Morena Films";"11/06/2021";10262.0;1851;2021;"";"Historias lamentables";""
"Fantasma de la Sauna, El";"Sophia Network";"19/11/2021";10049.0;1611;2021;"";"Fantasma de la Sauna";"El"
"Mia y Moi";"Yedra";"21/05/2021";10039.0;1833;2021;"";"Mia y Moi";""
"Pica Pica Musical Especial Navidad";"Independent";"18/12/2020";9590.0;1570;2021;"";"Pica Pica Musical Especial Navidad";""
"Aita Mari";"Atera Films";"03/12/2021";9529.0;1746;2021;"";"Aita Mari";""
