"pelicula_id";"icaa_id";"tmdb_id";"titulo";"titulo_icaa";"fecha_estreno";"anio";"recaudacion_total";"espectadores_total";"subvenciones_total"
1;"";"";"091, policia al habla (1960) (re)";"";"2025-05-16";2025;42.0;12;""
2;100317;"";"Todos lo saben";"TODOS LO SABEN";"2018-09-14";2022;83.0;18;280000.0
3;100421;"";"Generacion silenciosa, La";"LA GENERACIÓN SILENCIOSA";"2021-09-10";2021;129.0;35;0.0
4;100517;"";"Platon";"PLATÓN";"2021-10-08";2021;237.0;60;0.0
5;100820;"";"Agua";"AGUA";"2022-02-11";2022;2296.0;357;0.0
6;100878;"";"Verdad sobre el caso Savolta, La (1979) (re)";"VERDAD SOBRE EL CASO SAVOLTA, LA";"2024-03-18";2024;9.0;2;0.0
7;100920;"";"Amores brujos";"AMORES BRUJOS";"2025-06-12";2025;2149.0;364;0.0
8;101120;"";"Foreign Song, A";"A FOREIGN SONG";"2025-04-25";2025;552.0;100;50000.0
9;101222;"";"Furgo, La";"LA FURGO";"2025-06-20";2025;28408.0;4513;0.0
10;101420;"";"Diario de mi sextorsion";"DIARIO DE MI SEXTORSIÓN";"2024-10-11";2024;1700.0;266;140250.0
11;101489;"";"Ay, Carmela (1990) (re)";"AY, CARMELA!";"2022-11-13";2022;50.0;7;0.0
12;101522;"";"Eloy de la Iglesia, adicto al cine";"ELOY DE LA IGLESIA, ADICTO AL CINE";"2025-12-25";2025;4413.0;677;0.0
13;101692;"";"Belle Epoque (1992) (re)";"BELLE EPOQUE";"2024-03-05";2024;262.0;75;0.0
14;101718;"";"Capitan Carver";"CAPITÁN CARVER";"2023-01-24";2023;2792.0;422;0.0
15;101721;"";"Un paseo por el Borne";"UN PASEO POR EL BORNE";"2024-07-25";2024;14606.0;2636;0.0
16;101817;"";"Gallina Turuleca, La";"LA GALLINA TURULECA";"2020-01-01";2021;3242.0;771;280000.0
17;101820;"";"Fauna";"FAUNA";"2023-11-10";2023;371.0;75;119000.0
18;102020;"";"Caballeros de Santiago, Los";"LOS CABALLEROS DE SANTIAGO";"2023-06-14";2023;2017.0;504;0.0
19;102022;"";"Nena";"NENA";"2025-10-27";2025;502.0;207;0.0
20;102120;"";"Escape Room: La pelicula";"ESCAPE ROOM LA PEL·LÍCULA";"2022-03-11";2022;180557.0;27699;0.0
21;1022;"";"Patriarcado, el organismo nocivo";"PATRIARCADO EL ORGANISMO NOCIVO";"2022-03-17";2022;1222.0;181;0.0
