"pelicula_id";"distribuidora_id";"fuente"
1;373;"sin_dato"
2;422;"ficha_icaa"
3;373;"sin_dato"
4;373;"sin_dato"
5;238;"ficha_icaa"
6;94;"ficha_icaa"
7;370;"ficha_icaa"
8;373;"sin_dato"
9;369;"ficha_icaa"
10;370;"ficha_icaa"
11;422;"ficha_icaa"
11;434;"ficha_icaa"
11;56;"ficha_icaa"
12;423;"ficha_icaa"
13;422;"ficha_icaa"
13;56;"ficha_icaa"
14;106;"ficha_icaa"
15;83;"ficha_icaa"
15;62;"ficha_icaa"
16;83;"ficha_icaa"
17;104;"ficha_icaa"
18;122;"ficha_icaa"
19;373;"sin_dato"
20;83;"ficha_icaa"
21;324;"ficha_icaa"
22;373;"sin_dato"
23;330;"ficha_icaa"
24;329;"ficha_icaa"
25;186;"ficha_icaa"
26;370;"ficha_icaa"
27;449;"ficha_icaa"
28;8;"ficha_icaa"
29;373;"sin_dato"
30;62;"ficha_icaa"
31;84;"ficha_icaa"
32;185;"ficha_icaa"
33;167;"ficha_icaa"
34;72;"ficha_icaa"
35;62;"ficha_icaa"
35;288;"ficha_icaa"
36;309;"ficha_icaa"
37;83;"ficha_icaa"
38;152;"ficha_icaa"
39;72;"ficha_icaa"
40;20;"ficha_icaa"
41;427;"ficha_icaa"
42;72;"ficha_icaa"
43;56;"ficha_icaa"
44;64;"ficha_icaa"
45;250;"ficha_icaa"
45;56;"ficha_icaa"
46;441;"ficha_icaa"
47;373;"sin_dato"
48;62;"ficha_icaa"
49;72;"ficha_icaa"
50;228;"ficha_icaa"
51;62;"ficha_icaa"
52;26;"ficha_icaa"
53;32;"ficha_icaa"
54;228;"ficha_icaa"
55;72;"ficha_icaa"
56;370;"ficha_icaa"
57;373;"sin_dato"
58;1;"ficha_icaa"
59;62;"ficha_icaa"
60;144;"ficha_icaa"
61;82;"ficha_icaa"
62;62;"ficha_icaa"
63;282;"ficha_icaa"
64;62;"ficha_icaa"
65;373;"sin_dato"
66;83;"ficha_icaa"
67;64;"ficha_icaa"
68;212;"ficha_icaa"
69;373;"sin_dato"
70;229;"ficha_icaa"
70;56;"ficha_icaa"
71;83;"ficha_icaa"
72;56;"ficha_icaa"
73;442;"ficha_icaa"
74;83;"ficha_icaa"
75;78;"ficha_icaa"
76;143;"ficha_icaa"
77;250;"ficha_icaa"
78;104;"ficha_icaa"
79;104;"ficha_icaa"
80;83;"ficha_icaa"
81;83;"ficha_icaa"
82;62;"ficha_icaa"
83;350;"ficha_icaa"
84;226;"ficha_icaa"
85;412;"ficha_icaa"
86;144;"ficha_icaa"
87;373;"sin_dato"
88;429;"ficha_icaa"
89;4;"ficha_icaa"
90;72;"ficha_icaa"
91;370;"ficha_icaa"
92;83;"ficha_icaa"
93;106;"ficha_icaa"
94;370;"ficha_icaa"
95;442;"ficha_icaa"
95;142;"ficha_icaa"
96;356;"pdf_heuristica"
97;83;"ficha_icaa"
98;457;"ficha_icaa"
99;8;"ficha_icaa"
100;204;"ficha_icaa"
101;5;"pdf_heuristica"
102;250;"ficha_icaa"
103;410;"ficha_icaa"
104;373;"sin_dato"
105;47;"ficha_icaa"
106;104;"ficha_icaa"
107;342;"ficha_icaa"
108;373;"sin_dato"
109;444;"ficha_icaa"
110;442;"ficha_icaa"
111;426;"ficha_icaa"
112;135;"ficha_icaa"
113;64;"ficha_icaa"
114;373;"sin_dato"
115;309;"pdf_heuristica"
116;62;"ficha_icaa"
117;308;"ficha_icaa"
118;8;"ficha_icaa"
119;8;"ficha_icaa"
120;255;"ficha_icaa"
121;423;"ficha_icaa"
122;334;"ficha_icaa"
123;329;"ficha_icaa"
124;326;"ficha_icaa"
125;422;"ficha_icaa"
126;228;"ficha_icaa"
127;282;"ficha_icaa"
128;373;"sin_dato"
129;370;"ficha_icaa"
130;373;"sin_dato"
131;267;"ficha_icaa"
132;83;"ficha_icaa"
133;146;"ficha_icaa"
134;83;"ficha_icaa"
134;82;"ficha_icaa"
135;442;"ficha_icaa"
136;405;"ficha_icaa"
137;69;"ficha_icaa"
138;33;"ficha_icaa"
139;370;"ficha_icaa"
140;190;"ficha_icaa"
141;59;"ficha_icaa"
142;144;"ficha_icaa"
142;248;"ficha_icaa"
143;59;"ficha_icaa"
144;373;"sin_dato"
145;425;"ficha_icaa"
146;373;"sin_dato"
147;4;"ficha_icaa"
148;436;"ficha_icaa"
149;89;"ficha_icaa"
150;314;"ficha_icaa"
151;83;"ficha_icaa"
152;228;"ficha_icaa"
153;283;"pdf_heuristica"
154;199;"ficha_icaa"
155;370;"ficha_icaa"
156;383;"ficha_icaa"
157;127;"ficha_icaa"
158;235;"ficha_icaa"
159;72;"ficha_icaa"
160;410;"ficha_icaa"
161;62;"ficha_icaa"
162;26;"ficha_icaa"
162;405;"ficha_icaa"
163;373;"sin_dato"
164;427;"ficha_icaa"
165;442;"ficha_icaa"
166;104;"ficha_icaa"
167;83;"ficha_icaa"
168;128;"ficha_icaa"
169;31;"ficha_icaa"
170;312;"ficha_icaa"
171;8;"ficha_icaa"
172;334;"ficha_icaa"
173;342;"ficha_icaa"
174;72;"ficha_icaa"
175;167;"ficha_icaa"
176;390;"ficha_icaa"
177;144;"ficha_icaa"
178;283;"ficha_icaa"
179;108;"ficha_icaa"
180;82;"ficha_icaa"
181;8;"ficha_icaa"
182;373;"sin_dato"
183;72;"ficha_icaa"
184;83;"ficha_icaa"
185;416;"ficha_icaa"
186;407;"ficha_icaa"
187;104;"ficha_icaa"
188;83;"ficha_icaa"
189;8;"ficha_icaa"
190;373;"sin_dato"
191;322;"ficha_icaa"
192;373;"sin_dato"
193;32;"ficha_icaa"
194;325;"ficha_icaa"
195;444;"ficha_icaa"
195;106;"ficha_icaa"
196;62;"ficha_icaa"
197;297;"ficha_icaa"
198;56;"ficha_icaa"
199;228;"ficha_icaa"
200;228;"ficha_icaa"
201;334;"ficha_icaa"
202;4;"ficha_icaa"
203;56;"ficha_icaa"
204;373;"sin_dato"
205;31;"ficha_icaa"
206;392;"ficha_icaa"
207;172;"ficha_icaa"
208;220;"ficha_icaa"
209;62;"ficha_icaa"
210;144;"ficha_icaa"
211;29;"ficha_icaa"
212;139;"ficha_icaa"
213;189;"ficha_icaa"
214;83;"ficha_icaa"
215;4;"ficha_icaa"
216;83;"ficha_icaa"
217;322;"ficha_icaa"
218;408;"ficha_icaa"
219;373;"sin_dato"
220;83;"ficha_icaa"
221;106;"ficha_icaa"
222;65;"ficha_icaa"
223;438;"ficha_icaa"
224;444;"ficha_icaa"
224;146;"ficha_icaa"
225;282;"ficha_icaa"
226;62;"ficha_icaa"
227;258;"ficha_icaa"
228;83;"ficha_icaa"
228;405;"ficha_icaa"
229;8;"ficha_icaa"
230;390;"ficha_icaa"
231;422;"ficha_icaa"
232;441;"ficha_icaa"
233;376;"ficha_icaa"
234;429;"ficha_icaa"
235;177;"ficha_icaa"
235;268;"ficha_icaa"
236;381;"ficha_icaa"
237;343;"ficha_icaa"
238;442;"ficha_icaa"
239;83;"ficha_icaa"
240;72;"ficha_icaa"
241;188;"ficha_icaa"
242;38;"ficha_icaa"
243;405;"ficha_icaa"
244;340;"ficha_icaa"
245;26;"ficha_icaa"
246;174;"ficha_icaa"
247;127;"ficha_icaa"
248;427;"ficha_icaa"
249;441;"ficha_icaa"
250;283;"ficha_icaa"
251;394;"ficha_icaa"
252;340;"ficha_icaa"
253;334;"ficha_icaa"
254;362;"ficha_icaa"
254;106;"ficha_icaa"
255;253;"ficha_icaa"
256;445;"ficha_icaa"
257;458;"ficha_icaa"
258;441;"ficha_icaa"
259;373;"sin_dato"
260;83;"ficha_icaa"
261;441;"ficha_icaa"
262;429;"ficha_icaa"
263;442;"ficha_icaa"
264;8;"ficha_icaa"
265;271;"ficha_icaa"
266;8;"ficha_icaa"
267;378;"ficha_icaa"
268;442;"ficha_icaa"
269;83;"ficha_icaa"
270;72;"ficha_icaa"
271;232;"ficha_icaa"
271;244;"ficha_icaa"
272;381;"ficha_icaa"
273;329;"ficha_icaa"
274;26;"ficha_icaa"
275;410;"ficha_icaa"
276;83;"ficha_icaa"
277;104;"ficha_icaa"
277;371;"ficha_icaa"
278;373;"sin_dato"
279;395;"ficha_icaa"
280;59;"ficha_icaa"
281;174;"ficha_icaa"
282;83;"ficha_icaa"
283;442;"ficha_icaa"
284;396;"ficha_icaa"
285;83;"ficha_icaa"
286;72;"ficha_icaa"
287;255;"ficha_icaa"
288;373;"sin_dato"
289;188;"ficha_icaa"
290;8;"ficha_icaa"
291;405;"ficha_icaa"
292;373;"sin_dato"
293;163;"ficha_icaa"
294;44;"ficha_icaa"
295;8;"ficha_icaa"
296;83;"ficha_icaa"
297;255;"ficha_icaa"
298;392;"ficha_icaa"
299;144;"ficha_icaa"
300;373;"sin_dato"
301;299;"ficha_icaa"
302;8;"ficha_icaa"
303;62;"ficha_icaa"
304;14;"ficha_icaa"
305;72;"ficha_icaa"
306;83;"ficha_icaa"
307;392;"ficha_icaa"
308;83;"ficha_icaa"
309;255;"ficha_icaa"
310;96;"ficha_icaa"
