"pelicula_id";"empresa_id";"pais_id";"porcentaje_empresa"
2;1257;17.0;98.5
2;1320;17.0;1.5
2;1259;21.0;""
2;1138;26.0;""
3;154;17.0;100.0
4;963;17.0;100.0
5;2258;17.0;100.0
6;1572;17.0;100.0
6;743;26.0;""
6;1361;21.0;""
7;1269;17.0;80.0
7;790;17.0;20.0
8;1235;17.0;100.0
9;1860;17.0;100.0
10;794;17.0;66.53
10;513;17.0;4.96
10;1673;17.0;28.51
11;2077;17.0;100.0
11;632;26.0;""
12;131;17.0;50.0
12;118;17.0;30.0
12;1990;17.0;10.0
12;59;17.0;10.0
13;1126;17.0;50.0
13;733;17.0;50.0
13;174;40.0;""
14;978;17.0;100.0
15;1972;17.0;70.0
15;1201;17.0;10.0
15;576;17.0;10.0
15;2279;17.0;10.0
16;365;17.0;99.0
16;822;17.0;0.4
16;1846;17.0;0.4
16;1591;17.0;0.2
16;1463;3.0;""
16;214;3.0;""
16;1245;3.0;""
16;941;3.0;""
16;1168;3.0;""
17;1357;17.0;94.05
17;511;17.0;5.95
18;960;17.0;100.0
19;1948;17.0;75.0
19;58;17.0;25.0
20;227;17.0;75.0
20;1743;17.0;5.0
20;1354;17.0;20.0
21;1485;17.0;100.0
22;1756;17.0;100.0
23;212;17.0;5.0
23;1210;17.0;47.5
23;1527;17.0;47.5
24;1489;17.0;100.0
25;831;17.0;100.0
26;288;17.0;99.0
26;1263;17.0;0.6
26;740;17.0;0.4
27;2081;17.0;80.0
27;169;17.0;20.0
28;1809;17.0;99.0
28;2175;17.0;0.4
28;1515;17.0;0.4
28;1905;17.0;0.1
28;2180;17.0;0.1
28;1261;8.0;""
29;225;17.0;100.0
30;989;17.0;75.0
30;307;17.0;25.0
31;629;17.0;100.0
33;1932;17.0;99.0
33;788;17.0;1.0
33;2050;28.0;""
33;1182;21.0;""
34;299;17.0;90.0
34;954;17.0;7.0
34;371;17.0;3.0
35;930;17.0;60.0
35;1334;17.0;20.0
35;1759;17.0;20.0
36;569;17.0;100.0
37;219;17.0;36.56
37;1777;17.0;35.8
37;1939;17.0;27.64
38;690;17.0;80.0
38;689;17.0;20.0
39;1377;17.0;99.0
39;912;17.0;0.338
39;371;17.0;0.337
39;971;17.0;0.25
39;1078;17.0;0.075
40;795;17.0;42.5
40;1132;17.0;42.5
40;1845;17.0;15.0
41;1842;17.0;100.0
42;1479;17.0;99.0
42;1178;17.0;0.34
42;1541;17.0;0.33
42;912;17.0;0.23
42;268;17.0;0.1
43;1235;17.0;45.0
43;626;17.0;22.5
43;532;17.0;21.5
43;1673;17.0;10.0
43;273;17.0;1.0
44;318;17.0;100.0
45;1126;17.0;100.0
46;2183;17.0;100.0
46;274;45.0;""
47;975;17.0;99.5
47;1953;17.0;0.5
48;392;17.0;100.0
49;2088;17.0;50.0
49;2089;17.0;50.0
49;1666;37.0;""
50;2245;3.0;""
50;1746;17.0;100.0
51;2040;17.0;100.0
51;1382;21.0;""
52;2172;17.0;40.0
52;333;17.0;32.0
52;1226;17.0;28.0
53;1775;17.0;100.0
53;1092;21.0;""
54;1678;17.0;100.0
55;1295;17.0;92.63
55;1869;17.0;7.37
56;1514;17.0;99.0
56;989;17.0;0.5
56;2264;17.0;0.5
56;1461;33.0;""
56;2064;33.0;""
57;2049;17.0;100.0
58;3;17.0;80.11
58;511;17.0;19.89
59;1583;17.0;100.0
60;2265;17.0;100.0
61;298;17.0;63.3
61;514;17.0;36.7
62;1879;17.0;100.0
63;600;17.0;100.0
64;1614;17.0;65.0
64;811;17.0;35.0
65;2175;17.0;99.0
65;1191;17.0;1.0
66;1081;17.0;99.0
66;1082;17.0;0.33
66;2019;17.0;0.33
66;1288;17.0;0.33
67;318;17.0;100.0
68;522;17.0;30.0
68;1625;17.0;25.0
68;858;17.0;25.0
68;2006;17.0;10.0
68;991;17.0;10.0
69;799;17.0;55.0
69;1583;17.0;45.0
70;1047;17.0;100.0
71;584;17.0;75.0
71;2130;17.0;25.0
72;2019;17.0;50.0
72;273;17.0;17.5
72;626;17.0;17.5
72;1082;17.0;15.0
73;1302;17.0;50.0
73;249;17.0;50.0
74;368;17.0;65.0
74;429;17.0;35.0
75;2257;17.0;50.0
75;203;17.0;40.0
75;191;17.0;10.0
75;1099;21.0;""
76;2242;17.0;80.0
76;784;17.0;20.0
77;910;17.0;90.0
77;1126;17.0;10.0
78;1835;17.0;50.0
78;1545;17.0;50.0
79;1922;17.0;100.0
80;1874;17.0;90.99
80;513;17.0;3.15
80;510;17.0;1.76
80;331;17.0;1.76
80;481;17.0;1.17
80;1053;17.0;1.17
80;1102;21.0;""
80;1520;21.0;""
80;1469;8.0;""
80;1688;8.0;""
81;1966;17.0;50.0
81;1943;17.0;33.0
81;1070;17.0;17.0
82;2102;17.0;50.0
82;510;17.0;50.0
83;1671;17.0;100.0
84;1032;17.0;85.0
84;2249;17.0;15.0
85;1709;17.0;100.0
86;675;17.0;60.0
86;626;17.0;40.0
87;1600;17.0;100.0
88;1320;17.0;100.0
89;2015;17.0;35.0
89;550;17.0;35.0
89;2126;17.0;30.0
90;686;17.0;90.0
90;808;17.0;6.5
90;954;17.0;3.5
92;66;17.0;51.0
92;1108;17.0;47.0
92;1943;17.0;1.0
92;945;17.0;1.0
92;868;21.0;""
93;586;17.0;60.0
93;944;17.0;40.0
94;57;17.0;100.0
95;2122;17.0;100.0
96;1678;17.0;69.3
96;514;17.0;30.7
97;1675;17.0;90.0
97;1673;17.0;10.0
98;489;17.0;100.0
99;647;17.0;99.0
99;28;17.0;0.5
99;494;17.0;0.5
100;961;17.0;100.0
101;1911;17.0;100.0
102;1126;17.0;100.0
102;231;21.0;""
103;1800;17.0;100.0
103;139;27.0;""
103;1962;27.0;""
104;267;17.0;100.0
105;136;17.0;100.0
106;2066;26.0;""
106;786;17.0;100.0
106;448;21.0;""
107;1601;17.0;100.0
108;1129;17.0;100.0
109;1775;17.0;80.68
109;1250;17.0;19.16
110;1861;17.0;100.0
110;1873;33.0;""
110;688;33.0;""
111;1546;17.0;69.0
