"pelicula_id";"genero_padre"
2;"Drama"
3;"Comedia"
4;"Ficción"
5;"Drama"
6;"Ficción"
7;"Documental"
8;"Documental"
9;"Comedia"
10;"Documental"
11;"Ficción"
12;"Documental"
13;"Comedia"
14;"Suspense"
15;"Drama"
16;"Animación"
17;"Documental"
18;"Documental"
19;"Drama"
20;"Comedia"
21;"Documental"
22;"Comedia"
23;"Documental"
24;"Documental"
25;"Documental"
26;"Drama"
27;"Documental"
28;"Tragicomedia"
29;"Documental"
30;"Experimental"
31;"Ficción"
32;"Comedia"
33;"Drama"
34;"Drama"
35;"Drama"
36;"Ficción"
37;"Documental"
38;"Documental"
39;"Drama"
40;"Documental"
41;"Arte"
42;"Drama"
43;"Drama"
44;"Documental"
45;"Comedia"
46;"Drama"
47;"Documental"
48;"Documental"
49;"Drama"
50;"Ficción"
51;"Drama"
52;"Thriller"
53;"Drama"
54;"Musical"
55;"Documental"
56;"Comedia"
57;"Documental"
58;"Documental"
59;"Costumbrista"
60;"Comedia"
61;"Documental"
62;"Social"
63;"Documental"
64;"Documental"
65;"Documental"
66;"Biográfica"
67;"Documental"
68;"Drama"
69;"Documental"
70;"Drama"
71;"Comedia"
72;"Drama"
73;"Comedia"
74;"Thriller"
75;"Drama"
76;"Documental"
77;"Drama"
78;"Documental"
79;"Drama"
80;"Animación"
81;"Drama"
82;"Ficción"
83;"Drama"
84;"Documental"
85;"Documental"
86;"Drama"
87;"Ficción"
88;"Thriller"
89;"Documental"
90;"Drama"
91;"Documental"
92;"Drama"
93;"Thriller"
94;"Comedia"
95;"Tragicomedia"
96;"Documental"
97;"Drama"
98;"Documental"
99;"Drama"
100;"Realismo social"
101;"Documental"
102;"Drama"
103;"Drama"
104;"Ficción"
105;"Terror"
106;"Biográfica"
107;"Biográfica"
108;"Biográfica"
109;"Thriller"
110;"Drama"
111;"Comedia"
112;"Documental"
113;"Documental"
114;"Creación"
115;"Documental"
116;"Road movie"
117;"Documental"
118;"Drama"
119;"Drama"
120;"Drama"
121;"Documental"
122;"Documental"
123;"Documental"
124;"Fantasía"
125;"Drama"
126;"Drama"
127;"Documental"
128;"Ficción"
129;"Histórica"
130;"Drama"
131;"Aventuras"
132;"Ficción"
133;"Drama"
134;"Thriller"
135;"Documental"
136;"Comedia"
137;"Documental"
138;"Biográfica"
139;"Biográfica"
140;"Documental"
141;"Animación"
142;"Drama"
143;"Thriller"
144;"Documental"
145;"Drama"
146;"Documental"
147;"Documental"
148;"Comedia"
149;"Documental"
150;"Documental"
151;"Terror"
152;"Documental"
154;"Ficción"
155;"Drama"
156;"Terror"
157;"Drama"
158;"Documental"
159;"Thriller"
160;"Comedia"
161;"Documental"
162;"Comedia"
163;"Documental"
164;"Documental"
165;"Comedia"
166;"Comedia"
167;"Comedia"
168;"Histórica"
169;"Drama"
170;"Documental"
171;"Drama"
172;"Documental"
173;"Documental"
174;"Drama"
175;"Terror fantastico"
