"person_id";"nombre";"sexo";"place_of_birth";"pais_aprox";"confianza_pais"
229931.0;"Asghar Farhadi";"hombre";"Isfahan, Iran";"Iran";"heuristico"
1930872.0;"Ferrán Navarro-Beltrán";"hombre";"";"";"sin_dato"
1114075.0;"Vicente Pérez Herrero";"";"";"";"sin_dato"
1120691.0;"Antonio Drove";"hombre";"  Madrid, Spain";"Spain";"heuristico"
87506.0;"Antonio Larreta";"hombre";"Montevideo, Uruguay";"Uruguay";"heuristico"
1388727.0;"Lucía Álvarez";"";"";"";"sin_dato"
4748222.0;"Jose Ramón Fernández Pinazo";"";"";"";"sin_dato"
2434913.0;"César Souto Vilanova";"";"";"";"sin_dato"
2434919.0;"Cristina Liz Graña";"";"";"";"sin_dato"
2839650.0;"Eloy Calvo";"hombre";"Terrassa, Barcelona, Catalunya, Spain";"Spain";"heuristico"
5349292.0;"Ramón Pineda";"";"";"";"sin_dato"
1452364.0;"Mercè Sarrias";"";"";"";"sin_dato"
2522953.0;"Patricia Franquesa";"";"";"";"sin_dato"
96369.0;"Carlos Saura";"hombre";"Huesca, Aragón, Spain";"Spain";"heuristico"
37590.0;"Rafael Azcona";"hombre";"Logroño, La Rioja, España";"España";"heuristico"
1115312.0;"Gaizka Urresti";"";"";"";"sin_dato"
1284828.0;"Juan Barrero";"";"";"";"sin_dato"
5955689.0;"Moisés Garrido";"";"";"";"sin_dato"
37526.0;"Fernando Trueba";"hombre";"  Madrid, Spain";"Spain";"heuristico"
3567270.0;"Evgeny Yablokov";"";"";"";"sin_dato"
3778185.0;"Nick Igea";"";"";"";"sin_dato"
1036577.0;"Elio Quiroga";"hombre";"";"";"sin_dato"
2020210.0;"Zebina Guerra";"mujer";"Gran Canaria, Spain";"Spain";"heuristico"
131587.0;"Víctor Monigote";"";"";"";"sin_dato"
2474255.0;"Eduardo Gondell";"";"";"";"sin_dato"
135468.0;"Juan Pablo Buscarini";"hombre";"Rosario, Santa Fe, Argentina";"Argentina";"heuristico"
4962452.0;"Pablo Enrique Bossi";"";"";"";"sin_dato"
1624337.0;"Pau Faus";"";"";"";"sin_dato"
1316935.0;"Sergi Cameron";"hombre";"";"";"sin_dato"
3884067.0;"Júlia R. Aymar";"";"";"";"sin_dato"
4382575.0;"Ana L. Martín";"";"";"";"sin_dato"
5694090.0;"Marta García";"";"";"";"sin_dato"
1105225.0;"Héctor Claramunt";"";"";"";"sin_dato"
19826.0;"Joel Joan";"hombre";"Barcelona, España";"España";"heuristico"
2445361.0;"Valeriano López";"";"";"";"sin_dato"
2181973.0;"Iratxe Fresneda";"mujer";"Bilbao, España";"España";"heuristico"
5702959.0;"Alberto Martos";"";"";"";"sin_dato"
113406.0;"Belén Macías";"mujer";"Tarragona, Catalonia, Spain";"Spain";"heuristico"
1304400.0;"Aitor Gabilondo";"hombre";"";"";"sin_dato"
1063543.0;"Verónica Fernández";"mujer";"";"";"sin_dato"
3324578.0;"Xiana do Teixeiro";"";"";"";"sin_dato"
17000.0;"Elena Manrique";"mujer";"";"";"sin_dato"
3217186.0;"Chiara Avesani";"";"";"";"sin_dato"
2349411.0;"Matteo Delbò";"";"";"";"sin_dato"
3538411.0;"Lluís Sellarès";"hombre";"";"";"sin_dato"
42.0;"Lars von Trier";"hombre";"Copenhagen, Denmark";"Denmark";"heuristico"
1459948.0;"Juanjo Giménez Peña";"hombre";"Spain";"Spain";"heuristico"
2372329.0;"Pere Altimira";"";"";"";"sin_dato"
2025649.0;"Pilar Palomero";"mujer";"Zaragoza, Spain";"Spain";"heuristico"
4237979.0;"Coré Ruiz";"";"";"";"sin_dato"
4442477.0;"Raquel Herrera";"";"";"";"sin_dato"
3960733.0;"Juan Perez Fajardo";"";"";"";"sin_dato"
1641338.0;"David Calle";"hombre";"";"";"sin_dato"
1090718.0;"Sigfrid Monleón";"";"";"";"sin_dato"
1121668.0;"Germán Roda";"";"";"";"sin_dato"
1744391.0;"Andrea Jaurrieta";"mujer";"Pamplona, Navarra, Spain";"Spain";"heuristico"
1909488.0;"José Manuel Gómez Vidal";"";"";"";"sin_dato"
3811620.0;"José Manuel Rodríguez Calvo";"";"";"";"sin_dato"
6346352.0;"Sandra Romero";"";"";"";"sin_dato"
1966070.0;"Álvaro Gago";"hombre";"Vigo, Spain";"Spain";"heuristico"
5308218.0;"Sandra Román";"";"";"";"sin_dato"
57865.0;"Álex de la Iglesia";"hombre";"Bilbao, Spain";"Spain";"heuristico"
3788.0;"Jorge Guerricaechevarría";"hombre";"Avilés, Asturias, Spain";"Spain";"heuristico"
